Action	Count Usages	Normative Form	Idiomatic Forms
lose_control_over	11	A lost control over B	"A lost its control over B, A's power over B ebbed away, A's power over B was no more, A could no longer call B's tune, A could no longer use B as a puppet"
are_embarrassed_by	11	A was embarrassed  by B	"B's silly behavior was a source of embarrassment to A, B's silly behaviour left A with egg on its face"
believe_in	10	A believed in B	"A really believed in B, A really believed in what B stood for, A bought into B's ideas, A became an eager consumer of B's ideas"
suck_up_to	10	A sucked up to B	"A unashamedly sucked up to B, A showed no shame in sucking up to B, A was a real suck-up to B"
chastise	10	A chastised B	"A scolded B like a child, A gave B a severe rap on the knuckles, "
are_chastised_by	10	B chastised A	"B scolded A like a child, B gave A a severe rap on the knuckles, "
are_forgotten_by	10	B forgot A	"B forgot all about A, B packed away all memories of A, B's memories of A slowly faded away, B's memories of A soon gathered dust, A was soon just a distant memory to B"
obtain_sympathy_from	10	A obtained sympathy from B	"A wrung sympathy out of B, A got sympathetic looks from B"
punish	10	A punished B	"A doled out punishment for B's transgressions, A's punishment for B suited the crime, A invented an apt punishment for B, A meted out an apt punishment to B"
break_free_of	10	A broke free of B	"A managed to break free of B's control, A stepped out of B's oppressive shadow"
disfigure	10	A disfigured B	"A rearranged B's face, A left its mark on B's face, B never looked the same when A was finished"
are_disfigured_by	10	B disfigured A	"B rearranged A's face, B left its mark on A's face, A never looked the same when B was finished"
take_up_with	10	A took up with B	"A formed a close bond with B, A and B became an ""item"", A and B became a ""thing"", A and B became a hot couple"
confide_in	9	A confided in B	"A confided everything to B, A told every embarrassing secret to B, A opened up to B and shared everything"
are_driven_mad_by	9	B drove A mad	"B really drove A mad, B drove A around the bloody bend, B drove A up the bloody wall, B drove A crazy"
flatter	9	A flattered B	"A flattered and fawned over B, A used flattery to win B over, A subjected B to a barrage of compliments"
let_in	9	A let B in	A opened up and let B in
interview	9	A interviewed B	A conducted a probing interview with B
are_hardened_by	9	A hardened toward B	"B's behaviour hardened A's heart, A's attitude hardened toward B, "
are_incarcerated_by	9	B incarcerated A	"B locked A up, B sent A to prison, B had A sent to prison"
upstage	9	A upstaged B	"A stole B's thunder, A took the spotlight from B, A pushed B out of the limelight, B was thoroughly upstaged by A, A overshadowed B in every way"
appeal_to	9	A appealed to B	"A made an emotional appeal to B, a made a heartful appeal to B"
support	9	A supported B	"A gave B its full support, A pledged unflinching support for B, A offered B its full support, A was incredibly supportive of B"
serve	9	A served B	"A was a loyal servant to B, A pledged to serve B in every way"
repay	9	A repaid B	"A repaid B in full, A paid back everything it owed B"
are_copied_by	8	B copied A	"B ""borrowed"" A's ideas, B plagiarized A's best work"
negotiate_with	8	A negotiated with B	"A sat down to negotiate with B, A sat down to hammer out terms with B"
are_banished_by	8	B banished A	"B banished A from the kingdom, ""Get thee hence and never return"" said B to A"
are_intrigued_by	8	B intrigued A	"B appealed to A's sense of wonder, B was a source of constant fascination to A, B fascinated and intrigued A"
are_heckled_by	8	B heckled A	"B heckled A with cruel jibes, B booed and heckled A, B's heckles struck A like stones, B's heckles struck A like poisoned darts, B's heckles stung A like a wasp's stinger, B's heckles stung A like a scorpion's tail"
fire	8	A fired B	"""You're fired"" shouted A at B, A gave B the sack, A demanded B's resignation, ""Get out! You're fired"" said A, A asked B to clear out its desk and leave"
are_recalled_by	8	B recalled A	"""Get back here right now"" said B to A"
seek_advice_from	8	A sought advice from B	"A sought personal advice from B, A looked to B for personal advice"
overwork	8	A overworked B	"A gave B far too much work to do, A made B work day and night, A imposed an impossible workload on B"
hire	8	A hired B	A gave B a job
are_ruled_by	8	B ruled A	"B dominated A's life as a king dominates a pawn, B set the rules and A obeyed them, it was for B to set the rules and A to obey them"
buy_off	8	A bought off B	"B was bought off and lived in A's pocket and followed A's tune, A bought off B to dance to its tune, A's money made a willing pawn of B"
observe	8	A observed B	"A kept B under close observation, A closely observed all aspects of B's life"
labor_for	8	A labored for B	"A labored long and hard for B, A knuckled down and worked hard for B"
are_deflowered_by	8	B deflowered A	"B became A's very first lover, "
are_forgiven_by	8	B forgave A	B forgave all of A's transgressions
are_eluded_by	8	B eluded A	B eluded A's attempts at capture
denounce	8	A denounced B	"A publically denounced B, A launched a public denunciation of B, A launched a public tirade against B, A's denunciation of B was scathing, A disavowed any feeling for B, A denounced B to the world, A denounced B to anyone who would listen, A burned B's reputation to the ground"
appoint	8	A appointed B	"A appointed B to high office, A gave B a plum job, A secured a plum appointment for B"
imitate	8	A imitated B	A imitated B's style and adopted it as its own
track_down	7	A tracked B down	A followed the crumbs and tracked B down
are_interviewed_by	7	B interviewed A	B conducted a probing interview with A
welcome	7	A welcomed B	A welcomed B as a gracious host should
are_molded_by	7	B molded A	B molded A in its own image
mock	7	A mocked B	"A cruelly mocked B, A subjected B to cruel mockery, A subjected B to a barrage of sarcasm, A's sarcasm cut B like a knife"
work_with	7	A worked with B	A worked alongside B
are_enslaved_by	7	B enslaved A	"B turned A into an indentured slave, B treated A like a personal slave,"
heckle	7	A heckled B	"A heckled B with cruel jibes, A booed and heckled B, A's heckles struck B like stones, A's heckles struck B like poisoned darts, A's heckles stung B like a wasp's stinger, A's heckles stung B like a scorpion's tail"
confer_with	7	A conferred with B	A conferred with B to discuss their options
grow_suspicious_of	7	A grew suspicious of B	"A grew ever more suspicious of B, A's suspicions about B grew in scale"
sacrifice_to	7	A sacrificed to B	"A made sacrifices in honor of B, A made sacrifices to B to obtain its favor"
take_aim_at	7	A took aim at B	"A lined up B in its crosshairs, A took careful aim at B"
elude	7	A eluded B	A eluded B's efforts at capture
are_unimpressed_with	7	A was unimpressed with B	"A was unimpressed with B, nothing that B did was good enough for A, A was not impressed with anything that B did"
kill_for	7	A killed for B	"A became a willing killer for B, A carried out assassinations for B, A's loyalty extended to killing B's enemies"
cheat_on	7	A cheated on B	"A fooled around and cheated on B, A had an affair with B's best friend, A was unfaithful to B and had many affairs, A was serially unfaithful to B"
are_divorced_by	7	B divorced A	"B filed for divorce against A, B asked A for a divorce"
divorce	7	A divorced B	"A filed for divorce against B, A asked B for a divorce"
summon	7	A summoned B	A summoned B to a face-to-face meeting
die_for	7	A died for B	"A jumped in front of a bullet meant for B, A jumped on a grenade to save B, A caught a bullet to save B, A gave its life to save B"
coach	7	A coached B	"A became B's coach, A agreed to be B's coach"
enslave	7	A enslaved B	A turned B into an indentured slave
feel_sorry_for	7	A felt sorry for B	A felt truly sorry for B
starve	6	A starved B	"A denied B any food and water, A tried to starve B by denying it food"
abandon	6	A abandoned B	"A abandoned B there and then, ""I'm outa here"" shouted A to B, A picked up and left B behind, ""I've had enough of you"" said A, A ran off and left B behind, A packed a bag and left B, A packed up its things and left B behind"
are_supplanted_by	6	B supplanted A	B took over the position once occupied by A
testify_for	6	A testified for B	A testified for B in open court
are_challenged_by	6	B challenged A	"A felt challenged by A, B threw down a challenge to A"
are_uncovered_by	6	B uncovered A	"B uncovered A's dirty little secret, B figured out what A was up to"
disobey	6	A disobeyed B	A flagrantly disobeyed B's orders
pray_to	6	A prayed to B	A prayed to B to find divine favor
favor	6	A favored B	A favored B with its patronage
conspire_with	6	A conspired with B	A formed a conspiratorial relationship with B
tune_out	6	A tuned out B	A tried to tune out B's voice
are_found_by	6	B found A	B found out where A was hiding
sacrifice	6	A sacrificed B	A sacrificed B to achieve its larger goal
are_criticized_by	6	B criticized A	"B criticized A in public, B offered a savage critique of A, B stuck the knife of public criticism into A, B threw critical brickbats at A, B hurled a volley of criticism at A, B subjected A to a barrage of criticism"
are_imitated_by	6	B imitated A	B imitated A's style and adopted it as its own
pursue	6	A pursued B	A pursued B relentlessly
overthrow	6	A overthrew B	"A unseated B from its perch, A pushed B off its perch, A kicked B off its throne, A upended B off its throne, A overthrew B and stole its crown"
are_abducted_by	6	B abducted A	B snuck up and abducted A
are_snatched_by	6	B snatched A	B snuck up and snatched A
save	6	A saved B	A saved B from a world of trouble
are_scolded_by	6	B scolded A	"B scolded A like a child, B gave A a severe rap on the knuckles, "
date	6	A dated B	A went on a date with B
are_silenced_by	6	B silenced A	"B shut A up, B made A shut the hell up, ""Shut your mouth"" said B"
are_mistaken_for	6	A was mistaken for B	A was often mistaken for B in public
commit_to	6	A committed to B	"A made a public commitment to B, A made a commitment to B to always be there"
condemn	6	A condemned B	A delivered a public condemnation of B
entertain	6	A entertained B	"A entertained B with jokes and skits, A showed B a good time, A put on an entertaining show for B"
are_appointed_by	6	B appointed A	"B appointed A to high office, B gave A a plum job, B secured a plum appointment for A"
rule_over	6	A ruled over B	"A ruled every aspect of B's life, A set the rules for B to follow, A dominated B's life as a king dominates a pawn, A set the rules and B obeyed them, it was for A to set the rules and B to obey them, A called the tune and B danced along to it"
are_censured_by	6	B censured A	"B gave A a very public dressing-down, B gave A a very public rap on the knuckles"
destroy	6	A destroyed B	"A destroyed B utterly, there was nothing left of B when A was finished, A did to B what the A-bomb did to Hiroshima, A did to B what Japan did to Pearl Harbor, A ground B into a fine powder"
dismiss	6	A dismissed B	A told B to get out and not come back
enchant	6	A enchanted B	"A spun a web of charm around B, A spun a web of enchantment around B"
interrogate	6	A interrogated B	A subjected B to a brutal interrogation
lie_for	5	A lied for B	A knowingly told lies for B
admire	5	A admired B	"A admired and respected B, A held immense admiration for B, A put B on a pedestal"
travel_with	5	A traveled with B	"A traveled around with B, A became a travel companion to B"
trick	5	A tricked B	"A used trickery to deceive B, A's trickery found a willing dupe in B, A's trickery went unnoticed by B"
are_coached_by	5	B coached A	"B became a coach to A, B agreed to coach A"
are_deposed_by	5	B deposed A	"B knocked A off its perch, B unseated A and took its throne for itself, B knocked A off the top of the heap"
are_handled_by	5	B handled A	B agreed to handle and represent A
enlist	5	A enlisted B	A enlisted B into its ranks
are_investigated_by	5	B investigated A	"B launched an investigation into A, B opened an investigation into A's actions"
are_shielded_by	5	B shielded A	B shielded A from criticism and attack
are_ejected_by	5	B ejected A	"B kicked A out into the cold, B grabbed A by the scruff of the neck and shouted ""Get out"", B showed A the door with an air of finality, B had enough and kicked A out"
talk_to	5	A talked to B	A sat down with B for a talk
are_evaluated_by	5	B evaluated A	B performed a detailed evaluation of A
are_hired_by	5	B hired A	B gave A a job
fail_to_reward	5	A failed to reward B	"A failed to properly reward B, A failed to give B its fair reward"
are_recruited_by	5	B recruited A	B recruited A into its ranks
are_cut_off_by	5	B cut off A	B cut A off completely
taunt	5	A taunted B	A hurled cruel taunts at B
are_imprisoned_by	5	B imprisoned A	B had A locked up
are_escorted_by	5	B escorted A	B escorted A everywhere
are_welcomed_by	5	B welcomed A	B welcomed A into its home
are_released_by	5	B released A	B gave A its freedom
complain_to	5	A complained to B	"A complained to B, A whined and complained to B"
compete_with	5	A competed with B	A formed a competitive relationship with B
rescue	5	A rescued B	A rescued B from a dangerous situation
follow	5	A followed B	A became an enthusiastic follower of B
campaign_for	5	A campaigned for B	A campaigned vigorously for B
advise	5	A advised B	"A served as an advisor to B, A offered B guidance and advice"
are_mistreated_by	5	B mistreated A	"B mistreated A rather badly, B did not treat A well"
vote_for	5	A voted for B	A voted for B in the election
catch	5	A caught B	"A finally caught up to B, A finally tracked B down"
search_for	5	A searched for B	A searched for B everywhere
mimic	5	A mimicked B	A mimicked B's style and adopted it as its own
compete_against	5	A competed against B	"A competed vigorously against B, A formed an intensely competitive relationship with B"
are_begged_by	5	B begged A	"B begged A for a hand-out, B begged A for a helping hand"
control	5	A controlled B	A exercized complete control over B
diagnose	5	A diagnosed B	"A diagnosed B's ailment, A ran tests and offered B a diagnosis"
torture	5	A tortured B	"A tortured B relentlessly, A found many ways to torture B"
are_sought_by	5	B sought A	B actively sought out A
rule	5	A ruled B	"A ruled every aspect of B's life, A set the rules for B to follow, B followed all of A's rules, A called the tune and B danced along to it"
sign_up	5	A signed B up	A signed up B to its official roster
respect	5	A respected B	"A thoroughly respected B, A had nothing but respect for B, A thought very highly of B, A was very respectful of B, A had the utmost respect for B, A felt a kinship to B, A respected and admired B"
are_disobeyed_by	5	B disobeyed A	B flagrantly disobeyed A's orders
let_go_of	5	A let go of B	"A let go of B, A let B go"
lose_favor_with	5	A lost favor with B	"A lost favor with B, B's attitude to A cooled considerably, A was in the dog-house as far as B was concerned, B no longer felt well-disposed toward A"
are_saved_by	5	B saved A	B saved A's life
watch_over	5	A watched over B	"A watched over B assiduously, A kept a watchful eye on B"
capture	4	A captured B	A caught B and held it captive
are_chosen_by	4	B chose A	B chose A from a crowded field
are_excommunicated_by	4	B excommunicated A	"B cut off all communication with A, B threw A out into the cold, B deemed A to be persona non grata"
are_expelled_by	4	B expelled A	B expelled A from its hallowed ranks
look_after	4	A looked after B	A diligently looked after B
share_stories_with	4	A shared stories with B	A shared intimate stories with B
love	4	A loved B	A felt a deep love for B
are_punished_by	4	B punished A	"B doled out punishment for A's transgressions, B's punishment for A suited the crime, B invented an apt punishment for A, B meted out an apt punishment to A"
read_the_works_of	4	A read the works of B	A read the complete works of B
are_booed_by	4	B booed A	"B booed and jeered at A, B hurled boos and beercans at A, B pelted A with the rotten fruit of mockery"
are_protected_by	4	B protected A	"B became an eager protector of A, B became very protective of A"
are_kissed_by	4	B kissed A	"B kissed A tenderly, B gave A a passionate kiss, B kissed A passionately"
are_freed_by	4	B freed A	B gave A its freedom
are_detained_by	4	B detained A	B detained A against its will
resist	4	A resisted B	"A resisted and opposed B, A put up a defiant resistance to B, A was defiant in resisting B, A showed only defiance to B, A refused to buckle under B"
withhold_payment_from	4	A withheld payment from B	A withheld due payment from B
are_photographed_by	4	B photographed A	B took a photograph of A
drink_with	4	A drank with B	"A went drinking with B, A went for a drink with B"
play_with	4	A played with B	A played with B
struggle_against	4	A struggled against B	A struggled mightily against B
pray_with	4	A prayed with B	A prayed with B to the same god
are_intimidated_by	4	B intimidated A	B intimidated A with threats of violence
dominate	4	A dominated B	"A dominated B utterly, A dominated every aspect of B's life"
ignore	4	A ignored B	"A gave B the cold shoulder, A turned its back on B"
are_captured_by	4	B captured A	B made A its captive
break_up_with	4	A broke up with B	A broke up with B
evict	4	A evicted B	A evicted B from its home
oppress	4	A oppressed B	A was an oppressive influence on B
imprison	4	A imprisoned B	"A kept B locked up, A kept B in a cage"
lose_to	4	A lost to B	A lost everything to B
are_advised_by	4	B advised A	B gave A guidance and advice
attract	4	A attracted B	A held an immense attraction for B
rebel_against	4	A rebelled against B	A rebelled openly against B
visit	4	A visited B	A visited B at home
tend	4	A tended B	A tended to B's every need
counsel	4	A counseled B	A was a source of wise counsel for B
defeat	4	A defeated B	"A defeated B utterly, A delivered a crushing defeat to B"
study	4	A studied B	A studied all of B's works
prey_on	4	A preyed on B	A preyed hungrily on B
are_funded_by	4	B funded A	B funded A's work
seduce	4	A seduced B	"A seduced and enthralled B, A lured B into the bedroom, A flashed its bedroom eyes at B, A's seductive wiles proved too strong for B, A shamelessly seduced B, A charmed the pants off B"
play_for	4	A played for B	A played for B's entertainment
cry_for	4	A cried for B	A cried out for B
report_to	4	A reported to B	"A reported everything to B, A made periodic reports to B"
are_charmed_by	4	B charmed A	B charmed A with a sly smile
guard	4	A guarded B	A guarded and protected B
brief_against	4	A briefed against B	A briefed everyone would listen against B
reward	4	A rewarded B	"A rewarded B generously, A gave B a generous reward, "
teach	4	A taught B	A was a dedicated teacher to B
sing_with	4	A sang with B	A sang along with B
are_kidnapped_by	3	B kidnapped A	B kidnapped A and kept it hostage
are_hindered_by	3	B hindered A	B hindered A's work and progress
are_paid_by	3	B paid A	"B paid A for its efforts, B paid A for its services"
are_taught_by	3	B taught A	B taught A everything
are_defrocked_by	3	B defrocked A	"B withdrew all grace and favor from A, B stripped A of all power and authority"
are_followed_by	3	B followed A	B became an enthusiastic follower of A
entice	1	A enticed B	A enticed B with a smile and a wink
are_enticed_by	3	B enticed A	B enticed A with a smile and a wink
are_loved_by	3	B loved A	"B loved everything about A, B felt a deep and abiding love for A"
are_helped_by	3	B helped A	"B helped A out, B gave A a helping hand"
are_painted_by	3	B painted A	"B painted a portrait of A, B painted A's portrait"
are_savaged_by	3	B savaged A	"B savaged A, B angrily sunk its teeth into A"
are_supervised_by	3	B supervised A	B supervised A's every activity
are_overthrown_by	3	B overthrew A	"B overthrew and replaced A, B toppled A from the top of the heap, B supplanted A at the top of the heap"
are_caught_by	3	B caught A	B caught up to A and took it captive
are_healed_by	3	B healed A	B healed A's wounds
are_tortured_by	3	B tortured A	B tortured A relentlessly
delegate_to	3	A delegated to B	A delegated responsibility to B
are_supported_by	3	B supported A	B supported A in everything
are_persecuted_by	3	B persecuted A	B persecuted A relentlessly
appease	3	A appeased B	A sought to appease B
struggle_with	3	A struggled with B	A struggled mightily with B
are_dispatched_by	3	B dispatched A	B dispatched A on a mission
are_mentored_by	3	B mentored A	B become a mentor to A
mentor	3	A mentored B	A became a mentor to B
are_suppressed_by	3	B suppressed A	"B suppressed all mutterings and criticism by A, B used heavy-handed methods to silence A"
copy	3	A copied B	"A ""borrowed"" B's ideas, A plagiarized B's best work"
excommunicate	3	A excommunicated B	A stripped B of its official offices
are_reported_by	3	B reported A	B reported A to the police
cast_off	3	A cast off B	"A cast B off, A threw B aside with a sneer"
are_interrogated_by	3	B interrogated A	"B subjected A to a harsh interrogation, B subjected A to enhanced interrogation techniques"
sweat_for	3	A sweated for B	A sweated long and hard for B
are_contradicted_by	3	B contradicted A	B contradicted A openly
disillusion	3	A disillusioned B	"A robbed B of its illusions, A disabused B of its illusions, A showed B its true colours, A showed B its less impressive side"
are_wooed_by	3	B wooed A	B set about wooing A
are_enchanted_by	3	B enchanted A	B spun a web of enchantment around A
care_for	3	A cared for B	A cared for B like no other
supply	3	A supplied B	A supplied B with all its needs
coerce	3	A coerced B	A coerced B into doing what it wanted
recruit	3	A recruited B	A recruited B into its ranks
compliment	3	A complimented B	A complimented B with sweet praise
command	3	A commanded B	A issued command after command to B
harden_toward	3	A hardened toward B	A's attitude hardened toward B
are_thanked_by	3	B thanked A	B thanked A effusively
are_disqualified_by	3	B disqualified A	B disqualified A as a legitimate candidate
speak_to	3	A spoke to B	A sat down to speak with B
consult	3	A consulted B	A consulted with B on important matters
assist	3	A assisted B	A assisted B in its efforts
haunt	3	A haunted B	memories of A haunted B
are_debated_by	1	B debated A	B engaged in a tense debate with A
debate	3	A debated B	A debated long and hard with B
suppress	3	A suppressed B	A suppressed all dissent from B
defraud	3	A defrauded B	A used deception to defraud B
are_informed_by	3	B informed A	B passed valuable information to A
deploy	3	A deployed B	A deployed B in the field
evaluate	3	A evaluated B	A performed a thorough evaluation of B
lead	3	A led B	A was a commanding leader to B
are_conquered_by	3	B conquered A	B's conquest of A was complete
are_assisted_by	3	B assisted A	"B assisted A in its efforts, B was an able assistant to A"
dispatch	3	A dispatched B	A dispatched B with a message
are_subdued_by	3	B subdued A	B subdued A completely
receive	3	A received B	A received B as a guest
encourage	3	A encouraged B	A encouraged B in its efforts
are_represented_by	3	B represented A	B represented A in official matters
seek	3	A sought B	A sought out B and its ilk
are_persuaded_by	3	B persuaded A	"B succeeded in persuading A, B won over A to its point of view"
wait_on	3	A waited on B	A waited on B as a loyal servant
kidnap	3	A kidnapped B	A took B hostage at gun-point
rank	3	A ranked B	A decided how to rank B relative to other candidates
persecute	3	A persecuted B	A persecuted B relentlessly
forgive	3	A forgave B	A forgave B for all its sins
are_served_by	3	B served A	B served A loyally
manage	3	A managed B	A managed B's career and business affairs
pamper	3	A pampered B	A pandered to and pampered B 
torment	3	A tormented B	A tormented B in cruel and diverse ways
supplant	3	A supplanted B	A took over B's role completely
offend	3	A offended B	"A was offensive to B, A offended B's sensibilities"
are_tracked_by	3	B tracked A	B tracked A to where it was hiding
send	3	A sent B	A sent B into the field on a mission
lose_interest_in	3	A lost interest in B	A completely lost interest in B
charm	3	A charmed B	"A charmed the pants off B, A spun a web of charisma around B"
take_as_prisoner	3	A took B as a prisoner	A took B as a prisoner
sign_with	3	A signed with B	A signed up with B as a client
resemble	3	A resembled B	A bore a very close resemblance to B
are_tormented_by	2	B tormented A	B tormented A relentlessly
are_oppressed_by	2	B oppressed A	B was an oppressive force in A's life
are_ruined_by	2	B ruined A	"B ruined A's life, B ruined A's life work, B burned A's life to the ground, B was the ruination of A's life"
are_read_by	2	B read A	B read all of A's published work
are_financed_by	2	B financed A	"B financed A's efforts, B provided financial support for A's work, B provided financial backing for A's work"
intimidate	2	A intimidated B	A intimidated B with threats of violence
are_offended_by	2	B offended A	B mightily offended A
are_counseled_by	2	B counseled A	B counseled A with sage advice
debate_with	2	A debated with B	"A debated enthusiastically with B, A threw itself into debate with B"
arrest	2	A arrested B	A arrested B for its transgressions
perform_with	2	A performed with B	A shared the stage with B for a performance
avoid	2	A avoided B	"A avoided B assiduously, A actively tried to avoid B"
attend	2	A attended B	A attended to B's every need
are_rebuked_by	2	B rebuked A	B delivered a stinging rebuke to A
execute	2	A executed B	"A brought the axe down on B's neck, A lowered the boom on B"
are_tutored_by	2	B tutored A	B tutored A in the ways of life
defend	2	A defended B	A defended B from its enemies
protect	2	A protected B	A protected B from its enemies
are_failed_by	2	B failed A	B proved to be a failure to A
cheat_with	2	A cheated with B	A started an illicit affair with B
propose_to	2	A proposed to B	A went down on bended knee and proposed to B
satirize	2	A satirized B	A wrote a stinging satire about B
are_treated_by	2	B treated A	B treated A's ailments
are_accompanied_by	2	B accompanied A	B accompanied A everywhere
agree_with	2	A agreed with B	A came to agreement with B
educate	2	A educated B	A educated B in the ways of the world
snatch	2	A snatched B	A snatched B and ran off
speak_through	2	A spoke through B	A only spoke through B
are_baptized_by	2	B baptized A	B initiated A in a baptism of fire
are_marketed_by	2	B marketed A	"B burnished A's public image, B talked up A in public"
are_undermined_by	2	B undermined A	"B undermined A's position, B spread undermining rumors about A, B went behind A's back and undermined its position, B was an undermining influence on A, B worked hard to undermine A's position "
are_repaid_by	2	B repaid A	B repaid its debt to A completely
fight_for	2	A fought for B	A fought loyally for B's cause
chat_with	2	A chatted with B	A chatted amiably with B
help	2	A helped B	A gave a helping hand to B
lecture_to	2	A lectured to B	A gave B a long lecture
are_blessed_by	2	B blessed A	B gave A its blessing
are_complimented_by	2	B complimented A	B complimented A with sweet praise
reach_out_to	2	A reached out to B	A reached out to make a connection to B
supervise	2	A supervised B	A supervised B's every effort
sell_to	2	A sold to B	A sold B everything it needed
are_tipped_by	2	B tipped A	B gave A a big tip
tip	2	A tipped B	A gave B a generous tip
whip	2	A whipped B	A took a whip to B's back
laugh_at	2	A laughed at B	A laughed at B with a hearty guffaw
woo	2	A wooed B	"A set about to woo B, A set about to get B into bed"
are_supplied_by	2	B supplied A	B supplied A with everything it needed
are_drilled_by	1	B drilled A	"B subjected A to a series of demanding drills, B drilled discipline and routine into A"
are_trained_by	2	B trained A	"B became A's trainer, B put A on a strict training regimen, B subjected A to a strict training regime"
instruct	2	A instructed B	A instructed B in the ways of the world
review	2	A reviewed B	A offered a honest review of B
operate_on	2	A operated on B	A performed surgery on B
cure	2	A cured B	A cured B of it ailments
curse	2	A cursed B	"A cursed B from a height, A spat a string of dire curses at B, "
are_converted_by	2	B converted A	B made a willing convert of A
fight	2	A fought B	A faced-off with B in a tense battle
are_defrauded_by	2	B defrauded A	B defrauded A in a devious con-job
are_accommodated_by	2	B accommodated A	"B accommodated A in its home, B gave A a place to sleep"
are_fielded_by	2	B fielded A	B sent A out into the field
are_evicted_by	2	B evicted A	B evicted A from its home
are_exorcized_by	2	B exorcized A	"B banished the ghost of A, B forbade any mention of A, B exorcised the ghostly memory of A, B forever banished the ghostly memory of A, B pushed memories of A into the deepest recesses of its mind, B underwent hypnotherapy to banish memories of A"
devour	2	A devoured B	A picked the flesh from B's bones
govern_for	2	A governed for B	A proved an able governor for B
treat	2	A treated B	A treated B's ailments
terrorize	2	A terrorized B	"A terrorized B, A committed terrorist outrages against B, A used the threat of violence to terrorize B"
are_visited_by	2	B visited A	B visited A's home
disqualify	2	A disqualified B	A disqualified B as a legitimate candidate
nominate	2	A nominated B	A nominated B as its preferred candidate
rebuff	2	A rebuffed B	A rebuffed B's efforts at reconciliation
invest_in	2	A invested in B	"A invested money in B's scheme, A put money into B's venture"
murder	2	A murdered B	A murdered B in its bed
train	2	A trained B	A became B's trainer
cater_to	2	A catered to B	A catered to B's every whim
host	2	A hosted B	A was a gracious host to B
are_encouraged_by	2	B encouraged A	"B encouraged A's enthusiasms, B encouraged A's passions, B gave further encouragement to A"
are_diagnosed_by	2	B diagnosed A	B diagnosed A's ailments
are_overworked_by	2	B overworked A	B made A work every hour of the day
are_questioned_by	2	B questioned A	B fired a volley of questions at A
represent	2	A represented B	A represented B in official matters
are_nominated_by	2	B nominated A	B nominated A as its candidate
detain	2	A detained B	A detained B against its will
massage	2	A massaged B	A massaged B's body and ego
reject	2	A rejected B	A rejected B's advances
are_studied_by	2	B studied A	B studied A's life and work
cast_out	2	A cast out B	A cast B out into the cold
fight_with	2	A fought with B	A fought side-by-side with B
find	2	A found B	A found where B was hiding
are_spoiled_by	2	B spoiled A	B spoiled A terribly
pity	2	A pitied B	A felt nothing but pity for B
free	2	A freed B	A freed B from its shackles
dislike	2	A disliked B	A disliked B intensively
incarcerate	2	A incarcerated B	A locked B up
deliver_for	2	A delivered for B	A delivered messages for B
hunt	2	A hunted B	A hunted B down
apprehend	2	A apprehended B	A tracked and apprehended B
pick_on	2	A picked on B	"A picked on B pitilessly, A picked on B mercilessly"
are_led_by	2	B led A	B became a leader to A
experiment_on	2	A experimented on B	A experimented on B without permission
look_for	2	A looked for B	"A looked for B everywhere, A left no stone unturned in the search for B, A looked high and low for B, ""Where are you?!?"" shouted A desperately"
preach_to	2	A preached to B	"A preached to B at length, A delivered a lengthy sermon to B"
translate_for	2	A translated for B	A had to translate B's words into something others could understand
give_birth_to	2	A gave birth to B	A gave birth to B
are_radicalized_by	2	B radicalized A	B radicalized A in the ways of extremism
are_commanded_by	2	B commanded A	B issued command after command to A
tower_over	2	A towered over B	A towered over B in every way
are_published_by	2	B published A	"B published A's life's work, B published A's masterpiece"
write_about	2	A wrote about B	A wrote about B's life and work
cross_examine	2	A cross examined B	A cross examined B in a tense face-off
overcome	2	A overcame B	A overcame all opposition from B
propagandize_for	2	A propagandized for B	A wrote propaganda to promote B's cause
select	2	A selected B	A selected B from a crowded field of candidates
sell_through	2	A sold through B	A sold its work through B
snitch_to	2	A snitched to B	"A became a snitch for B, A became a stool pigeon for B, A became an informant for B"
tip_off	2	A tipped off B	A tipped B off with inside information
prosecute	2	A prosecuted B	A prosecuted B for its crimes
are_remembered_by	2	B remembered A	B held on to the memory of A
are_energized_by	2	B energized A	B gave A energy
run_against	2	A ran against B	A ran against B in the election
accompany	2	A accompanied B	A accompanied B everywhere
govern	2	A governed B	A governed B's life
hurt	2	A hurt B	A really hurt B
are_rejected_by	2	B rejected A	B rejected A's proposition
are_resented_by	2	B resented A	B nurtured resentment toward A
monitor	2	A monitored B	A monitored every aspect of B's life
embarrass	2	A embarrassed B	A embarrassed B in public
buy_from	2	A bought from B	A bought stuff from B
impersonate	2	A impersonated B	A did a very good impersonation of B
consult_with	2	A consulted with B	A consulted with B on important matters
snitch_on	2	A snitched on B	"A snitched on B to the authorities, A told tales about B to the authorities"
vote_against	2	A voted against B	A voted against B in the election
are_used_by	1	B used A	B used A to get what it wanted
brainwash	1	A brainwashed B	A brainwashed B into believing the official line
are_hunted_by	1	B hunted A	"B hunted A down, B followed every clue to hunt A down "
are_admired_by	1	B admired A	B respected and admired A
debrief	1	A debriefed B	A debriefed B on the matter at hand
examine	1	A examined B	A gave B a thorough examination
answer_questions_from	1	A answered questions from B	A answered a volley of questions from B
are_monitored_by	1	B monitored A	B monitored every aspect of A's life
build_for	1	A built for B	A erected buildings for B
are_mystified_by	1	B mystified A	"B seemed to A to be enshrouded in mystique, B spun a web of mysticism around A, B seemed mysterious to A"
