a	Letter	"To see the letter ""A"" in your dream represents the beginning of a new stage."											
abacus	Machine	To see or use an abacus in your dream refers to your outdated views.											
abalone	Invertebrate	To see or eat abalone in your dream indicates a transitional period in your life.											
abandonment	Action	To dream that you are abandoned suggests that it is time to leave behind past feelings and characteristics that are hindering your growth.											
abbey	Building	"To see an abbey in your dream signifies spirituality, peace of mind and freedom from anxiety."	To see an abbey in ruins indicates feelings of hopelessness.										
bookstore	Structure	To dream that you are at a bookstore symbolizes your quest for knowledge and ideas.											
boomerang	Event	"To see or throw a boomerang in your dream indicates that what you do to others will come back to you, whether it is positive or negative."											
booster_cable	Tool	To see or use booster cables in your dream suggests that you need to get a jumpstart on your goals.											
boot_camp	Structure	To dream that you are in a boot camp represents your need for discipline and rigid rules.											
bootlegger	Person	To dream that you are a bootlegger suggests that you feel that you are above the law.											
boot	Action	To see or dream that you are wearing boots refers to the power in your movement and the boldness of your position.											
border	Place	To see or cross the border in your dream indicates that you are entering a new phase or transition in your life.											
boss	Structure	To see your boss in your dream represents the bossy or authoritative side of your own personality.											
botox	Substance	To dream that you are getting botox injections suggests that you are trying to hide emotions or worries about a situation.											
bottle	Unknown	"To see a bottle in your dream indicates that you are pushing your feelings back inside, rather than expressing them."	To see an empty bottle denotes that you have exhausted your inner resources.										
bottle_brush	Unknown	To see or use a bottle brush in your dream refers to an emotional cleansing.											
boulder	Place	To see a boulder in your dream symbolizes a major obstacle and problem in some component of your life.											
bounce_house	Unknown	To see or play in a bounce house in your dream indicates a lack of stability in your life.											
bouncer	Person	To see a bouncer in your dream means that you are suppressing your desires.											
bound	Action	To dream that you are bound or tied up represents your need to be free from some relationship or situation.											
boundary	Place	To see a boundary in your dream indicates that something is restricting your growth and hindering your goals.											
bounty_hunter	Person	To dream that you are a bounty hunter is analogous to the pursuit of your goals.											
bouquet	Unknown	"To dream that you receive or give a floral bouquet signifies respect, affection, approval, graciousness, admiration, and love."											
boutonniere	Unknown	To see or wear a boutonniere in your dream represents some special occasion.											
bow	Action	To see or tie a bow in your dream symbolizes femininity.	To see an archer's bow in your dream refers to the pursuit and accomplishment of your goals.										
bow_and_arrow	Weapon	To see a bow and arrow in your dream represents a combination of female and male energies.											
bowel_movement	Unknown	To dream that you have a bowel movement signifies that you are successfully getting rid of your old habits/ways and thinking patterns.	To dream that you have a bowel movement in a public place suggests that you are expressing regret about something that you said.										
bowing	Activity	"To dream that you are bowing symbolizes respect, honor, humility, and reverence."											
bowl	Structure	To see a bowl in your dream symbolizes the womb and sense of security.											
bowling	Action	"To dream that you are bowling represents the strikes, hits, and misses in your life."											
bowling_pin	Unknown	To see a bowling pin in your dream symbolizes an issue that you are trying to address or knock down.											
box	Action	To see a box in your dream signifies your instinctual nature and destructive impulses.	To dream that you are opening a box indicates an aspect of yourself that was once hidden is now being revealed.										
boxcar	Conveyance	To see a boxcar or a cable car in your dream signifies financial security.											
boxing	Action	To watch boxing or dream that you are a boxer suggests that you are experiencing some internal struggle or conflict.											
boxing_glove	Unknown	To see boxing gloves in your dream represents a difficult or even violent situation in which you are trying your best to succeed or overcome.											
boyfriend	Person	To see your boyfriend in your dream represents your waking relationship with him and how you feel about him.	"To dream that your boyfriend is dead indicates that something in your own Self that is no longer functional and is ""dead""."										
bra	Unknown	To dream that you are wearing a bra signifies support and protection.	To dream that you are not wearing a bra indicates that you have no discipline or control.										
bracelet	Unknown	To see or wear a bracelet in your dream refers to an expression of deep passion and fire.	To see a broken bracelet in your dream suggests that you tend to sacrifice your own comfort and happiness for others.										
brace	Tool	To dream that you have braces indicates your brashness and critics of others.											
bragging	Event	To dream that you are bragging indicates that you are feeling insecure about yourself.											
braid	Unknown	To dream that your hair is in braids represents your neat and orderly way of thinking.											
braille	Person	To read Braille in your dream suggests that you are trying to express yourself without words.											
brain	Body_Part	To dream of your brain suggests that you are under severe intellectual stress.	To dream that you are undergoing brain surgery indicates that you need to rethink some important issue.										
brake	Tool	To dream that you are applying your brakes signifies that you should slow down in your business and/or personal affairs.	To dream that your brakes fail or that you can't reach the brakes forewarns that you lack stability in your life.										
bramble	Plant	To see or be entangled in bramble indicates that you are feeling trapped in a relationship or emotionally.											
branch	Structure	"To see branches in your dream symbolize good luck, growth, and new life."	To see broken branches in your dream represents a personal or work-related problem.										
branded	Unknown	To dream that you are getting branded means that you are being typecast or wrongfully labeled.											
brandy	Food	To drink brandy in your dream symbolizes your preoccupation with material gains and money.											
brass	Musical_Instrument	"To see brass in your dream indicates deception, falsehood and deceitfulness."	To dream that you are polishing brass suggests that you need to smooth out the rough edges of your personality.										
bread	Substance	To see bread in your dream represents the basic needs of life.											
break	Action	To dream that you break something indicates that changes are ahead for you.											
breakdancing	Unknown	To dream that you are breakdancing suggests that you are deliberate and controlled in your actions.											
breakfast	Food	To dream about breakfast indicates the start of a new project or the beginning of a new stage in your life.											
breast_feeding	Activity	"To dream that you are breast feeding or nursing symbolizes tenderness, love, nurturance, and motherly love."											
breast_implant	Tool	To dream that you get or have breast implants refer to your body image issues.											
breast_pump	Unknown	To see or use a breast pump in your dream refers to your ability to provide nurturance and give love.											
breastplate	Unknown	To see or wear a breastplate in your dream suggests that you are trying to protect yourself from love and heartbreak.											
breast	Body_Part	To see breasts in your dream symbolize primal nourishment and your need to be nursed and care for.											
breath	Substance	"To dream that you are trying to catch your breath or that you are out of breath indicates that you are experiencing some anxiety, tension, or fear concerning a new situation in your waking life."	To dream that you have bad breath suggests that you are feeling enclosed or crowded in.	To dream that you are holding your breath indicates your stubborn state of mind.									
breathe	Unknown	To dream that you cannot breathe indicates that you are feeling exhausted.											
breathalyzer_test	Unknown	To dream that you are being administered a breathalyzer test indicates that your misdeeds or bad behavior will catch up with you.											
breeze	Activity	To feel a breeze in your dream represents the movement of ideas and minor changes.											
brew	Food	"To brew something in your dream suggests that patience, hard work, and tenacity will pay off in the long run."											
brick	Person	To see a brick in your dream represents your individual ideas and thoughts.	To dream that you are building a brick wall signifies a wall that you are putting up to protect yourself against hurt.										
bride	Person	To see a bride in your dream symbolizes a union or partnership.	To dream that the bride is shot at her wedding suggests that a feminine aspect of yourself has come to an abrupt end.										
bridesmaid	Person	To dream that you are a bridesmaid signifies a looming romance.											
bridge	Activity	To dream that you are crossing a bridge signifies an important decision or a critical junction in your life.	To dream of a run-down bridge indicates that you should not contemplate any major changes in your life at this time.	To see a bridge collapse in your dream implies that you have let an important opportunity pass you by.									
bridle	Activity	To see a bridle on a horse suggests that you are being manipulated in some waking situation.											
briefcase	Unknown	To see or carry a briefcase in your dream represents your level or preparedness in some situation or circumstance.											
bright	Unknown	"To dream that something is bright represents divinity, a higher consciousness, and spirituality."											
brimstone	Substance	To see brimstone in your dream implies that you are being punished.											
broadcast	Event	To dream that you are in a broadcast indicates your desire to have your voice heard and get your message out there.											
broccoli	Substance	To see or eat broccoli in your dream suggests that you are in need of spiritual nourishment.											
brochure	Unknown	"To see or read a brochure in your dream represents your open mindedness and your willingness to hear dissenting views, especially from those who disagree with you."											
bronchitis	Illness	To dream that you have bronchitis represents the obstacles that you need to overcome.											
bronze	Substance	To see bronze in your dream suggests that you need to provide more care and protection to something.											
brooch	Unknown	To see or wear a brooch in your dream represents an aspect of yourself that you are trying to express.											
broom	Tool	To see a broom in your dream denotes that it is time to clean up your act and resolve your past issues.											
brothel	Building	To dream that you are in a brothel indicates dissatisfaction and deprivation in your emotional or sexual relationship.											
brother	Person	To see your brother in your dream symbolizes some aspect of your relationship with him.											
brother-in-law	Person	To see your brother-in-law in your dream represents characteristics in him that you find within your own self.	To see your brother-in-law with his arm in a sling in your dream implies that he is being unhelpful or unproductive.										
brownie	Substance	To see or eat brownies in your dream symbolizes self indulgence.	To dream that you are baking brownies represents your sweetness and consideration of other people.										
bruise	Illness	To dream that you have a bruise represents stress and mounting pressure that you are dealing with in your waking life.											
brunette	Person	To see or dream that you are a brunette indicates that you need to be more down to earth.											
brush	Action	"To see a brush in your dream symbolizes your desire to ""brush"" away problems or something in your life that needs to be cleaned up."											
bubble	Unknown	"To see bubbles in your dream represent merriment, fun, and childhood joys."											
bubble_bath	Activity	To dream that you or someone is taking a bubble bath represents ultimate relaxation.											
bubble_wrap	Unknown	To see or use bubble wrap in your dream indicates that there is a problem that you need to be cautious in the way you handle it.	To dream that you are popping the bubble in the bubble wrap represents your satisfaction with the way your life is going.										
bubblegum	Unknown	To chew bubblegum in your dream represents your overly carefree attitude.											
buck	Animal	"To see a male deer or buck in your dream represents alertness, virility, masculine sexuality and assertiveness."											
bucket	Unknown	To see or carry a bucket in your dream indicates an improvement in your current situation.											
buckle	Tool	To dream that you are fastening a buckle represents your acceptance of certain responsibilities.											
bud	Unknown	To see a flower bud in your dream symbolizes great potential and the beginning of new experiences or relationships.											
buddha	Person	"To see Buddha in your dream symbolizes wisdom, insight, compassion, and inner spirituality."											
buffalo	Animal	"To see a buffalo in your dream symbolizes survival, strength, and power."	To see an injured or killed buffalo forewarns that you need to carefully think through any new ventures and projects that you are undertaking.	To see a herd of buffalo in your dream signifies tranquility and plentitude.									
buffet	Food	To eat too much food at a buffet in your dream indicates that some relationship is consuming your energies.											
bug	Invertebrate	To see a bug in your dream suggests that you are worried about something.											
bugle	Musical_Instrument	To see or hear a bugle in your dream represents some sort of warning.											
bugs_bunny	Unknown	To see Bugs Bunny in your dream represents your fast thinking and quick wittedness.											
building	Activity	To see a building in your dream represents the self and the body.	To see a building in ruins or damaged indicates that your approach toward a situation or relationship is all wrong.	To dream that a building collapses indicates that you are losing sight of your ambitions and goals.	To dream that you or someone fall off a building suggests that you are descending into the realm of subconscious.	To dream that you are scaling or climbing a building indicates that you are getting carried away by your ambitions.							
bulb	Tool	"To see a plant bulb in your dream represents your spiritual, physical, and intellectual potential."											
bulimia	Illness	"To dream that you have bulimia represents your lack of self-acceptance, self-esteem and your quest for perfection."											
bull	Event	"To see a bull in your dream symbolizes stubbornness, strong will, strength, and power."											
bull's_eye	Action	To see a bull's eye in your dream represents your search for perfection.											
bulldog	Animal	To see a bulldog in your dream signifies that some protective force is helping you move forward in life.											
bulldozer	Conveyance	To see a bulldozer in your dream suggests that you are feeling pushed away from what you want.											
bulletin_board	Machine	To see a bulletin board in your dream points to a message that you need to pay attention to from your subconscious.											
bullet	Action	To see a bullet or bullets in your dream indicate anger and aggression directed at you or someone else.											
bulletproof_vest	Unknown	To wear a bulletproof vest in your dream suggests that you are a overprotecting yourself from emotional hurt.											
bullfight	Unknown	To dream that you are watching a bullfight symbolizes the struggle between your animalistic desire and your spiritual side.											
bully	Person	To dream that you are a bully indicates your tendency to dominate a conversation relationship or situation.	To see a bully or be bullied in your dream signifies repressed rage.										
bum	Body_Part	To dream that you are a bum indicates that you are feeling like failure or an outcast.	To see a bum in your dream signifies laziness.										
bumblebee	Invertebrate	To see a bumblebee in your dream is symbolic of distress and coming problems.											
bumper	Tool	"To dream that your bumper has been damaged symbolizes the small ""bumps"" that you will encounter in life."											
bumper_car	Conveyance	To dream that you are riding in a bumper car represents your resilience.											
bumper_sticker	Unknown	To see a bumper sticker in your dream represents a message that you are trying to convey to the world.											
bungee_jumping	Unknown	To dream that you are bungee jumping represents your ability to bounce back from adversities and setbacks in your life.											
bunk_bed	Unknown	To see bunk beds in your dream represent childhood and innocence.											
buoy	Unknown	To see a buoy in your dream represents your ability to hold your head up even amidst your emotional distress.											
bureaucracy	Unknown	To dream that you are dealing with bureaucracy signifies a lack of emotions and personal contact in some aspect of your life.											
burglar	Person	To see or dream that you are a burglar indicates that your energy is being sucked away from you.											
burj_khalifia	Unknown	To see the Burj Khalifia in your dream symbolizes the ultimate success.											
burial	Activity	To see a burial in your dream indicates that you have gotten rid of your bad habits and have freed yourself from a negative situation.											
burlap	Unknown	To see or wear burlap in your dream refers to your tough persona.											
burning	Action	To see something burning in your dream indicates that you are experiencing some intense emotions and/or passionate sexual feelings.											
burp	Action	To dream that you burp indicates that your subconscious is informing you that you are going through some changes.	To hear a burp in your dream signifies a breakthrough in your personal struggles.										
burqa	Unknown	To dream that you are wearing a burqa suggests that are feeling sexually repressed.	To see someone wearing a burqa indicates that something is being kept away from you.										
burr	Tool	To see or dream that a burr is clinging to you symbolize a minor irritation or annoyance that you are choosing to overlook.											
burrito	Food	To see or eat a burrito in your dream symbolizes your efficiency in some matter.											
bury	Unknown	To dream that you bury something suggests that you are hiding your true feelings.											
bus	Conveyance	To dream that you are waiting for a bus indicates a temporary setback in achieving your personal goals.	To dream that you are riding a bus implies that you are going along with the crowd.										
bus_driver	Unknown	To see a bus driver in your dream indicates leadership in some group idea or plan.	To dream that you are a bus driver suggests that you are moving forward quickly.										
bus_station	Unknown	To dream that you are at the bus station suggests that you have reached some new level or stage in your emotional or physical life.	To dream that you failed to get to the bus station indicates that you are feeling helpless and trapped by some situation.										
bus_stop	Place	To dream that you are at a bus stop indicates that there is a decision that you need to make.											
bush	Place	To see a bush in your dream symbolizes feminine emotions and desires.	To dream that you are hiding behind a bush suggests that you are keeping something a secret and are not being completely open.	To see a flowering bush represent development and personal growth.									
business	Activity	To dream about a business deal signifies issues and problems that you are dealing with in your waking life.											
business_card	Unknown	To dream that you are handing out your business card indicates that you need to make more connections and expand your network.											
business_trip	Unknown	To dream that you are on a business trip suggests that you having a difficult time trying to relax.											
businessperson	Person	To see or dream that you are a businessperson represents the rational and organized aspect of yourself.											
bustier	Unknown	To dream that you are wearing a bra signifies support and protection.	To dream that you are not wearing a bra indicates that you have no discipline or control.										
butcher	Person	To see a butcher in your dream represents your raw emotions or immoral behaviors.	To dream that you are a butcher signifies pent up anger and hostility.										
butler	Person	To see a butler in your dream suggests that you are depending too much on others for their help.	To dream that you are a butler represents your feelings of subservience.										
butter	Food	To see or taste butter in your dream suggests that you are looking to be gratified in some area of your life.	To dream that you are churning butter represents hard work and difficult task.	To dream that you are melting butter or that the butter has melted implies that you need to be soften your attitude and demeanor toward others.									
butter_knife	Tool	To see or use a butter knife in your dream signifies easiness and simplicity.	To dream that you are using a butter knife to cut or slice something indicates that you are ineffectual in getting a task done.										
butterfly	Action	"To see a butterfly in your dream signifies longevity, creativity, romance, joy and spirituality."	To catch or kill a butterfly suggests that you are being too superficial.	To dream that you are mounting a butterfly on frame symbolizes sexual oppression.									
buttock	Body_Part	To see your buttocks in your dream represent your instincts and urges.	To dream that your buttocks are misshaped suggest undeveloped or wounded aspects of your psyche.										
buying	Action	"To dream that you or someone is buying something represents your acceptance of an idea, condition, or situation."											
buzzer	Tool	To hear a buzzer in your dream indicates that you are experiencing a conflict in a relationship or situation.											
buzzard	Bird	To see a buzzard in your dream symbolizes death and decay.											
cab	Conveyance	To dream that you are hailing a cab suggests that you need to ask for help in order to be able to move forward in some waking situation.	To dream that you are in a cab indicates that you are being taken for a ride.										
cabana	Structure	To see or dream that you are in a cabana signifies your need for an escape or vacation.											
cabaret	Activity	To watch a cabaret in your dream indicates your need to acknowledge your sensual side.											
cabbage	Substance	To see or eat cabbage in your dream suggests that you should not waste time with petty things in your life.											
cabin	Structure	To see or dream that you are in a wood cabin indicates that you will succeed via your own means.	To dream that you are in a ship cabin indicates that are seeking some refuge from your emotions.										
cabinet	Structure	To see a cabinet in your dream symbolizes the female body and/or the womb.											
cable	Tool	To see a cable in your dream represents your stamina and durability.	To dream of cable television signifies your openness and how you communicate with others.										
cable_car	Structure	To see or ride in a cable car in your dream signifies the compromises that you make in life.											
caboose	Conveyance	To see or be in a caboose implies that you are last in line for something.											
cactus	Plant	"To see a cactus in your dream suggests that you are feeling invaded, that your space is being crowded into and that you are being suffocated."											
cadillac	Unknown	To see a Cadillac in your dream suggests that you are driven to succeed.											
caduceus	Unknown	To see a caduceus in your dream symbolizes health concerns.											
caesarian_section	Action	To dream that you are having a caesarian section implies that you need help in order to get your idea or project off the ground.											
cafe	Building	To dream that you are at a cafe represents your social life.											
cafeteria	Building	"To dream that you are in a cafeteria denotes that there may be a lot of issues ""eating"" you up inside."											
cage	Person	To dream that you are in a cage indicates that you are experiencing inhibitions and powerlessness in some areas of your life.	To dream that you are putting a wild animal into a cage signifies that you will succeed in overcoming your rivals and fears.	To see a bird in a cage suggests that you are feeling limited in your expression and a sudden lost of freedom.									
cage_fighting	Unknown	To dream that you are cage fighting indicates that you are feeling restricted or confined in a current relationship.											
cake	Substance	To see a cake in your dream indicates that you need to learn to share and allocate your workload instead of trying to do everything yourself.	To see a partially eaten cake in your dream signifies missed and lost opportunities.	To dream that you are buying a cake suggests that you have accepted the rewards and recognition you are getting for our work.									
calamari	Substance	To dream that you are eating calamari indicates that you are feeling battered or beaten.											
calculator	Machine	To see a calculator in your dream suggests that you need to thoroughly think through some problem and carefully evaluate your choices.											
calendar	Unknown	To see a calendar in your dream represents the passing of time and past events.											
calf	Animal	To see a calf in your dream symbolizes immaturity and inexperience.											
calla_lily	Plant	"To see calla lilies in your dream symbolize new beginnings, rebirth and longevity."											
calluses	Unknown	To dream that you have calluses symbolize hard work.											
calm	Unknown	To dream that you are calm denotes a fulfilling life.	"To dream that someone is trying to calm you down suggests that you will experience many setbacks, especially if you continue to let your emotions run out of control."										
calomel	Substance	To see calomel in your dream indicates a rivalry.	To dream that you are drinking calomel tea signifies that you are being manipulated and taken advantage of.										
calf	Animal	To see your calves in your dream symbolize movement and your ability to jump from situation to situation.											
camel	Animal	"To see a camel in your dream denotes that you need to be more conservative; you are carrying too many responsibilities, burdens and problems on your shoulders."	"To dream that you are petting a camel indicates that you are ready to let go of some of the burdens, responsibilities or emotional baggage that you are carrying around."										
cameo	Unknown	To see or wear a cameo in your dream represents an aspect of yourself that you are trying to express.											
camera	Unknown	To see a camera in your dream signifies your desires to cling on and/or live in the past.	To dream that the camera is broken indicates that you are ignoring an issue or refusing to see the big picture.	To dream that you cannot find your camera to take a picture implies that you are not focusing on the matter at hand.	To see or dream that you are on a hidden camera indicates that you feel that you are being scrutinized.								
camouflage	Activity	To dream that you are in camouflage suggests that you are hiding your true self and feelings.											
camper	Conveyance	To dream that you are living in a camper indicates that you need to move on with some situation or some aspect of your life.											
campfire	Event	To start or see a campfire in your dream represents sharing and companionship.											
camping	Event	To dream that you are camping indicates a need for relaxation and a long-deserved break.											
campus	Place	To dream that you are on a campus indicates your need to expand your thinking/knowledge and challenge yourself mentally.											
can	Structure	To see a can in your dream indicates that there is something in your past that you need to hold on to and preserve.											
can_opener	Tool	To see a can opener in your dream indicates your willingness to accept new ideas and new concepts.											
canada	Place	To dream that you are in Canada depends on your own personal associations with the country.											
canal	Place	To see a canal in your dream symbolizes restraint and constricted emotions.											
canary	Bird	To see a canary in your dream represents happiness and harmony.											
cancer	Place	"To dream that you have cancer denotes hopelessness, grief, self-pity, and unforgiveness."	To dream that you are being treated for cancer signifies a positive change in your life.	To dream that someone has cancer indicates that you need to change your negative way of thinking before it eats away at you.	To dream that someone is a Cancer sign symbolizes your tendency to keep and hold on to everything.								
candle	Tool	To see a burning candle in your dream signifies that good luck and hope will be coming your way in small and steady amounts.	To see an unlit candle denotes feelings of rejection or disappointments.	To see a candle blow out in your dream indicates that you are surrendering a significant aspect of yourself.	To watch the candle burn down to nothing in your dream signifies your fears of aging and dying.	To see a red colored candle in your dream symbolizes some intimate or romantic relationship.							
candle_wax	Unknown	To see candle wax in your dream indicates that there is too much activity going on in your life.											
candy	Food	To see or eat candy in your dream symbolizes the joys and the special treats in life.											
candy_apple	Food	To see or eat a candy apple in your dream is a reminder that you can have too much of a good thing.											
cane	Tool	To see or use a cane in your dream suggests that you are in need of some support and advice.											
cannabis	Substance	To dream of cannabis denotes a loss of control.											
canned_food	Food	To see or eat canned food in your dream implies that you are keeping your emotions bottled up inside.											
cannibalism	Activity	To see cannibalism in your dream symbolizes a destructive and forbidden desire or obsession.	"To dream that you are a victim of cannibalism represents feelings of being ""eating alive"" by work, a relationship or a situation in your waking life."										
cannon	Action	To see a cannon in your dream suggests that there is something drastic that needs to be done immediately.											
cannonball	Weapon	To see a cannonball in your dream indicates that you are harboring some anger or aggression and it is weighing your down.											
canoe	Conveyance	"To see a canoe in your dream represents serenity simplicity, and independence."											
canopy	Unknown	To see a canopy in your dream symbolizes protection.											
cantaloupe	Food	"To see or eat cantaloupe in your dream implies that you put forth a tough image, but are sensitive on the inside."											
canteen	Building	To see or use a canteen in your dream suggests that you are looking to easily and conveniently satisfy your emotional needs.											
canvas	Structure	"To see a canvas in your dream symbolizes potential and possibilities, especially if the canvas is blank."											
canyon	Unknown	To see a canyon in your dream represents your subconscious mind and hidden feelings.											
cap	Place	To see a cap in your dream signifies informality and ease.											
cap_and_gown	Unknown	To wear a cap and gown in your dream indicates that you are transitioning into a higher level in your life.											
cape	Place	To see or dream that you are wearing a cape indicates that you are trying to shield yourself from being emotionally hurt.											
capricorn	Place	To dream that someone is a Capricorn signifies fears of inadequacy.											
captain	Person	To dream that you are a captain indicates that you are taking charge of your emotions and confronting the issues that are bothering you.	To see a captain in your dream represents your powerful influence over others.										
captive	Animal	To dream that you are held captive suggests that you are feeling trapped in some aspect or circumstances of your waking life.											
car	Structure	"To dream that you are driving a car denotes your ambition, your drive and your ability to navigate from one stage of your life to another."	To dream that you drive your car into a body of water or that it rolls into water implies that you are in for an emotional journey.										
car_alarm	Unknown	To hear or set off a car alarm in your dream implies that you are headed on the wrong path.											
car_battery	Tool	To see your car battery in your dream symbolizes your stamina.	To dream that your car battery is dead suggests that you are overwhelmed and overworked.										
car_carrier	Conveyance	To see a car carrier in your dream indicates that you are lacking direction and have no goal of your own.											
car_dealership	Unknown	To see or dream that you are in a car dealership refers to some decision that you need to make about where you want to go in life.											
car_seat	Tool	To see an infant car seat in your dream implies that you are in control of someone else's direction or destiny in life.											
car_show	Unknown	To dream that you are at a car show suggests that you are drawn to a flashy lifestyle which may not necessarily be who you really are.	To dream that you are showing off your car at a car show implies that you are proud of your accomplishments and achievements.										
caramel	Food	"To eat or lick caramel in your dream indicates a sweet and satisfying situation will eventually turn into ""sticky"" problem."											
caravan	Conveyance	To dream that you are part of a caravan means that you will achieve your goals with the support of others.											
carburetor	Tool	"To see the carburetor in your dream represents emotional, spiritual and physical balance."											
carcass	Unknown	To see a carcass in your dream indicates that you are feeling emotionally torn.											
cardboard	Substance	To see a cardboard box in your dream indicates a lack of protection against risk.											
cardinal	Bird	To see a cardinal in your dream represents vitality and happiness.											
card	Substance	To dream that you are playing a game of cards represents your ability to strategize in various areas of your life.	To dream that you are shuffling cards signifies indecision.										
carnation	Plant	"To see carnations in your dream symbolize light-heartedness, vitality and joy."											
carnelian	Substance	"To see a carnelian in your dream represents passion, lust, sexuality, or matters of the heart."											
carnival	Activity	To dream that you are at the carnival represents falsehoods and deception.	To dream that you are on a carnival ride suggests that you are going in circles.	To dream that you run away with the carnival denotes that you will be involved in or closely connected to the entertainment field.									
caroling	Activity	"To dream that you are caroling signifies joy, harmony and tranquility."											
carp	Fish	To see a carp in your dream indicates that you need to put aside your pride and ego and not let it get in the way of friendships and relationships.											
carpenter	Person	To see or dream that you are a carpenter indicates that you are confronting and overcoming your obstacles.											
carpet	Unknown	To see a carpet in your dream represents your way of protecting yourself from life's harsh realities.	To dream that you are installing or laying down carpet suggests that you are trying to make your life more comfortable.	"To dream of a magic carpet implies your desires and wishes to escape from a situation, relationship, or responsibilities."									
carriage	Conveyance	To see an old-fashioned carriage in your dream suggests that your ways of thinking may be too outdated and antiquated.											
carrom_board	Unknown	To see or play with a Carrom Board in your dream implies that you need to focus on your goals.											
carrot	Activity	To see a carrot in your dream signifies abundance and fertility.	To eat a carrot in your dream indicates clarity.										
cartoon	Event	To dream that your real life is depicted in a cartoon world suggests that you are perceiving the world in a comical and unserious manner.											
cartwheels	Unknown	To dream that you are doing cartwheels represent poise and balance in your life or the need to regain balance.	To dream that you have difficulties doing cartwheels suggest that you do not have confidence in your own abilities.										
carving	Activity	To dream that you are carving a piece of wood symbolizes spiritual and creative energy.	To dream that you are carving some meat indicates that you are trying to rid yourself of certain feelings.										
carwash	Unknown	To dream that you are at a carwash indicates that you need to clean up your self-image.											
cash_register	Unknown	To see a cash register in your dream represents financial worries and concerns.											
cashier	Person	To see or dream that you are a cashier indicates that you are re-evaluating your life and what you have accomplished.											
cashmere	Place	To feel or wear cashmere in your dream symbolizes luxury.											
casino	Activity	To dream that you are in a casino signifies the risk-taker within you.											
casket	Unknown	To see a casket in your dream symbolizes the womb.	To see a body in a casket in your dream signifies that you are going through a period of depression.										
casserole	Food	To dream you are making a casserole symbolizes new ideas or a new phase in your life.											
cassette_tape	Tool	To see a cassette tape in your dream suggests that there is worth and truth in what you are saying.											
cassowary	Bird	To see a cassowary in your dream refers to your shy nature.											
cast	Action	To dream that you are wearing a cast suggests that your motion is being inhibited in some way.											
castanets	Musical_Instrument	"To see, hear or play with castanets in your dream represents little annoyances and irritations in your waking life."											
castle	Activity	"To see a castle in your dream signifies reward, honor, recognition, and praise for your achievements."	To dream that you live in a castle represents your extreme need for security and protection to the point where you may be isolating yourself from others.	"To see a castle door in your dream indicates that you have missed a huge and/or profitable opportunity, especially if you are standing outside the castle door."									
castration	Action	To dream of a castration signifies your overwhelming fears that you have lost your virility.											
cat	Activity	"To see a cat in your dream symbolizes an independent spirit, feminine sexuality, creativity, and power."	To dream that you cannot find your cat highlights your independent spirit.	To dream that a cat is biting you symbolizes the devouring female.	To dream that a cat is scratching you suggests that you are feeling threatened.	To see a black cat in your dream indicates that you are experiencing some fear in using your psychic abilities and believing in your intuition.	To dream that a cat killed a spider suggests that you are expressing your femininity in a seductive and cunning manner rather than in an overtly and almost destructive way.	To see a dead cat or hear a cat being killed implies that you are lacking autonomy and independence in some area of your life.	To see a cat with green spikes suggests that jealousy is preventing you from forming meaningful relationships.	To see or drive a car that looks like a cat refers to your free and independent spirit.			
cat_eye	Unknown	To see or dream that you have cat eyes indicate that you are able to find your way through some dark and troubling problem.											
catacomb	Place	To dream of a catacomb suggests that you need to confront your fears of the subconscious.											
catapult	Tool	To see a catapult in your dream indicates that you will overcome your obstacles through ingenuity and determination.											
cataract	Illness	To dream that you have cataract or are having cataract remove indicates that you are looking for clarity in some situation.											
catastrophe	Event	To experience a catastrophe in your dream represents sudden instability and upheaval in your walking life.											
catch	Action	To catch something in your dream suggests that you need to incorporate something into your life.	To dream that you are playing catch signifies your carefree attitude.										
catcher	Activity	To see or dream that you are a baseball catcher implies that you need to be ready to accept whatever life throws at you.											
caterpillar	Animal	"To see a caterpillar in your dream signifies a stage in your own personal growth and development where you are on your way, but have not yet reached your goal."											
catfish	Fish	To see a catfish in your dream symbolizes someone who may not appear to be who they are.											
catsup	Food	"To see or eat catsup in your dream represents simplicity, youth, and happiness."											
cattle	Animal	To see cattle in your dream indicates that you need to proceed with caution in some situation or relationship.	To see a herd of cattle in your dream represents a lack of individuality.	To see a stampede of cattle in your dream suggests that something in your life is out of control.									
catwalk	Place	To see or dream that you are walking a catwalk represents your new found confidence.											
caught	Unknown	To dream that you are caught doing something represents your fears and vulnerabilities.											
caul	Body_Part	To see a caul in your dream indicates that you are not seeing something clearly.											
cauldron	Tool	To see a cauldron in your dream implies that you are undergoing some transformation.											
cauliflower	Substance	"To see or eat cauliflower in your dream symbolizes spiritual nourishment, purity and perfection."											
cave	Unknown	"To see or dream that you are in a cave symbolizes the womb and thus signify refuge, protection and concealment."	To dream that you are walking in a dark cave represents an exploration of your subconscious mind.										
caveman	Person	To see or dream that you are a barbarian represents the savage and instinctual aspect of your character.											
caviar	Substance	To see or eat caviar in your dream points to your expensive tastes.											
cd	Tool	To see a compact disc in your dream represents a need for enjoyment or a distraction.											
cedar	Plant	"To see a cedar in your dream symbolizes longevity, durability, strength, endurance and immortality."											
ceiling	Unknown	To see a ceiling in your dream represents a mental or spiritual perspective.											
celebration	Activity	To dream of a celebration represents your achievement toward a higher level of growth.											
