help	exploited_by	abandon, turn_against,take_aim_at
are_dismissed_by	spread_lies_about	are_sued_by
are_dismissed_by	beg_forgiveness_from, seek_forgiveness_from	are_spurned_by
are_funded_by	fail_to_deliver_for, disappoint, lie_to, steal_from	are_spurned_by
are_healed_by	fall_in_love_with	are_spurned_by
are_helped_by	fall_in_love_with	are_spurned_by
are_painted_by	fall_in_love_with	are_spurned_by
are_photographed_by	fall_in_love_with	are_spurned_by
are_admired_by	share_stories_with	are_bored_by, are_stalked_by
are_attracted_by	sleep_with	are_stalked_by
are_monitored_by	trust, confide_in	are_stalked_by
are_read_by	disagree_with, disappoint, identify_with, inspire	are_stalked_by
are_attacked_by	resist, fight_against, struggle_with	are_subdued_by
are_exploited_by	rise_against, turn_against	are_subdued_by
are_defrauded_by	punish, steal_from	are_sued_by
are_ejected_by	spread_lies_about	are_sued_by
are_financed_by	disagree_with, argue_with, steal_from	are_sued_by
are_financed_by	steal_from, lie_to, take_advantage_of, spread_lies_about	are_sued_by
are_fired_by	threaten, intimidate	are_sued_by
are_guaranteed_by	exploit, manipulate	are_sued_by
are_insured_by	deceive	are_sued_by
are_mocked_by	insult, humiliate	are_sued_by
are_offended_by	insult	are_sued_by
are_paid_by	steal_from, lie_to, take_advantage_of, spread_lies_about	are_sued_by
are_supplied_by	refuse_to_pay	are_sued_by
are_impressed_by	promote	are_supplanted_by
are_upstaged_by	compete_with, condescend_to	are_supplanted_by
overthrow	underestimate	are_suppressed_by
are_challenged_by	run_away_from	are_taunted_by
are_snatched_by	kiss_up_to, lick_up_to, suck_up_to	are_taunted_by
are_tortured_by	hate, appeal_to, seek_sympathy_from	are_taunted_by
are_read_by	insult, mock, offend	are_threatened_by
are_snatched_by	resist, struggle_with	are_threatened_by
are_despised_by	fear	are_toppled_by
are_feared_by	subjugate	are_toppled_by
are_feared_by	abuse, underestimate	are_toppled_by
are_obeyed_by	overwork	are_toppled_by
are_served_by	exploit, overwork, oppress	are_toppled_by
are_worshipped_by	condescend_to	are_toppled_by
are_diagnosed_by	trust, cede_power_to	are_treated_by
are_snatched_by	cede_power_to, bow_down_to, curry_favor_with	are_trusted_by
are_tricked_by	learn_from	are_trusted_by
are_attacked_by	deceive, trick	are_underestimated_by
are_worshipped_by	inspire, coach, mentor	are_unimpressed_by
are_copied_by	inspire	are_upstaged_by
are_flattered_by	promote, favor	are_upstaged_by
are_imitated_by	inspire, indoctrinate, teach	are_upstaged_by
are_impressed_by	promote, advise, coach, teach	are_upstaged_by
are_represented_by	promote	are_upstaged_by
are_respected_by	inspire	are_upstaged_by
are_supported_by	inspire	are_upstaged_by
are_unimpressed_by	mock, insult, underestimate	are_upstaged_by
are_worshipped_by	inspire, coach, mentor	are_upstaged_by
are_despised_by	save, rescue	are_worshipped_by
are_feared_by	save, rescue	are_worshipped_by
are_impressed_by	favor	are_worshipped_by
are_mocked_by	save, rescue	are_worshipped_by
commission	are_insulted_by, are_challenged_by	argue_with
compose_with	are_disrespected_by, are_insulted_by, are_lectured_by, are_mocked_by	argue_with
criticize	are_lectured_by	argue_with
travel_with	are_bored_by	argue_with
appease	are_pushed_too_far_by, are_attacked_by	attack
beg_forgiveness_from	are_rebuffed_by, are_ignored_by, are_spurned_by	attack
debate_with	are_misrepresented_by	attack
disappoint	are_denounced_by, are_beaten_by, are_humiliated_by	attack
eject	are_threatened_by	attack
negotiate_with	are_deceived_by, are_disrespected_by, are_unimpressed_with	attack
perform_with	are_upstaged_by	attack
seek_forgiveness_from	are_rebuffed_by	attack
speak_with	are_insulted_by, are_disrespected_by	attack
surrender_to	are_exploited_by, are_cheated_by	attack
avoid	are_summoned_by	attend
anger	are_chastised_by,  are_scolded_by, are_humiliated_by	beg_forgiveness_from
copy	are_sued_by	beg_forgiveness_from
criticize	are_rebuked_by	beg_forgiveness_from
disappoint	are_chastised_by, are_scolded_by, are_humiliated_by	beg_forgiveness_from
disfigure	are_disgusted_by, are_cursed_by	beg_forgiveness_from
excommunicate	are_blackmailed_by	beg_forgiveness_from
execute	are_haunted_by	beg_forgiveness_from
fail_to_deliver_for	are_dismissed_by, are_fired_by	beg_forgiveness_from
humiliate	are_attacked_by, are_denounced_by, are_despised_by	beg_forgiveness_from
spread_lies_about	are_sued_by	beg_forgiveness_from
steal_from	are_uncovered_by, are_reported_by	beg_forgiveness_from
listen_to	are_energized_by, are_flattered_by	believe_in
observe	are_impressed_by	believe_in
pray_to	are_rewarded_by	believe_in
defend	are_deceived_by	betray
disappoint	are_chastised_by, are_scolded_by, are_humiliated_by	betray
facilitate	are_trusted_by, are_respected_by	betray
identify_with	are_corrupted_by	betray
manipulate	are_trusted_by	betray
marry	are_betrayed_by	betray
marry	are_bored_by	betray
protect	are_disillusioned_by, are_exploited_by, are_deceived_by	betray
spy_on	are_trusted_by	betray, write_about
kiss_up_to	are_ignored_by, are_rebuffed_by	blackmail
lick_up_to	are_ignored_by, are_rebuffed_by	blackmail
observe	are_disgusted_by, are_shocked_by	blackmail
spy_on	are_disgusted_by, are_shocked_by	blackmail
cast_off	are_bought_off_by	bow_down_to
heckle	are_humiliated_by	bow_down_to
subjugate	are_deposed_by, are_toppled_by	bow_down_to
indoctrinate	are_trusted_by, are_respected_by, are_obeyed_by, 	brainwash
obey	are_bored_by, are_enslaved_by, are_pushed_too_far_by	break_free_of
cheat_on	are_stalked_by, are_caught_by	break_up_with
cheat_with	are_bored_by, are_lectured_by	break_up_with
date	are_disillusioned_by, are_exploited_by, are_deceived_by	break_up_with
are_disillusioned_by	are_disgusted_by, are_pushed_too_far_by, are_deceived_by	break_with
argue_with	are_censured_by, are_denounced_by, are_silenced_by	break_with
cede_power_to	are_manipulated_by, are_exploited_by, are_disgusted_by, are_shocked_by	break_with
follow	are_cheated_by, are_deceived_by, are_disrespected_by	break_with, lose_faith_in, are_disillusioned_by
grow_suspicious_of	are_pushed_too_far_by, are_disillusioned_by	break_with, lose_faith_in
identify_with	are_rebuffed_by, are_ignored_by, are_spurned_by	break_with
lose_faith_in	are_denounced_by	break_with
propose_to	are_rebuffed_by	break_with
curry_favor_with	are_ignored_by, are_rebuffed_by	buy_off, bribe, blackmail
kiss_up_to	are_ignored_by, are_rebuffed_by	buy_off, bribe, blackmail
lick_up_to	are_ignored_by, are_rebuffed_by	buy_off, bribe, blackmail
admire	are_disrespected_by, are_spurned_by, are_humiliated_by	campaign_against
campaign_for	are_unimpressed_by, are_ignored_by	campaign_against
criticize	are_rebuked_by	campaign_against
evict	are_sued_by	campaign_against
hate	are_disgusted_by	campaign_against
leak_to	are_named_by	campaign_against
perform_for	are_pushed_too_far_by	campaign_against
renounce	are_punished_by, are_lectured_by	campaign_against
resent	are_criticized_by, are_denounced_by, are_chastised_by, are_silenced_by	campaign_against
satirize	are_silenced_by	campaign_against
support	are_disgusted_by, are_shocked_by	campaign_against
work_for, labor_for, cook_for, design_for, create_for	are_appreciated_by, are_respected_by	sweat_for
sweat_for	are_abused_by, are_exploited_by, are_mistreated_by, are_underpaid_by, are_underappreciated_by	campaign_against
sweat_for, work_for, labor_for	are_rewarded_by	show_loyalty_to
vote_for	are_disillusioned_by, are_exploited_by, are_deceived_by	campaign_against
campaign_against	are_blackmailed_by, are_bought_off_by, are_defeated_by	campaign_for
track_down	are_attacked_by	capture
marry	are_beaten_by	cast_off
rise_against	are_feared_by	cast_off
are_eluded_by	lay_a_trap_for	catch
lay_a_trap_for	are_underestimated_by	catch
search_for	are_underestimated_by	catch
believe_in	are_flattered_by	cede_power_to
condescend_to	are_humiliated_by	cede_power_to
fight_against	are_impressed_by	cede_power_to
educate	are_lectured_by	cede_power_to
fight_against	are_overrun_by	cede_power_to
marry	are_upstaged_by	divorce
let_in	are_exploited_by, are_cheated_by	cede_power_to
look_up_to	are_manipulated_by	cede_power_to
lose_to	are_humiliated_by	cede_power_to
overwork	are_upstaged_by	cede_power_to
play_against	are_defeated_by	cede_power_to
promote	are_supplanted_by, are_upstaged_by	cede_power_to
hire, enlist, promote	are_upstaged_by	cede_power_to
sacrifice	are_upstaged_by	cede_power_to
snatch	are_seduced_by	cede_power_to
speak_through	are_tricked_by, are_manipulated_by, are_blackmailed_by	cede_power_to
supervise	are_usurped_by,  are_overthrown_by, are_seduced_by, are_blackmailed_by	cede_power_to
surrender_to	are_humiliated_by	cede_power_to
take_up_with	are_manipulated_by	cede_power_to
talk_through	are_misrepresented_by, are_mistaken_for	cede_power_to
are_hired_by	impress, believe_in	are_promoted_by
cheat_with	are_bored_by, are_lectured_by	cheat_on
marry	are_bored_by	cheat_on
marry	are_bored_by	cheat_on
supply	are_underpaid_by	cheat_on
take_up_with	are_disrespected_by, are_bored_by	cheat_on
observe	are_impressed_by	fall_in_love_with
buy_off, bribe, blackmail	are_obeyed_by, are_favored_by	manipulate
negotiate_with	are_feared_by, are_resisted_by	coerce
fall_in_love_with	are_worshipped_by	commit_to
show_loyalty_to	are_respected_by, are_rewarded_by	commit_to
take_up_with	are_impressed_by, are_flattered_by	commit_to
coach	are_upstaged_by	compete_against
compete_with	are_insulted_by, are_challenged_by	compete_against
flirt_with	are_ignored_by	compliment
command	are_driven_mad_by	condemn
pray_with	are_disgusted_by, are_shocked_by	condemn
worship_with	are_disgusted_by, are_shocked_by	condemn
advise	are_disrespected_by, are_underpaid_by, are_spurned_by	condescend_to
attract	are_disgusted_by, are_shocked_by	condescend_to
chat_with	are_bored_by, are_lectured_by	condescend_to
compete_with	are_bored_by	condescend_to
conquer	are_feared_by	condescend_to
eject	are_lectured_by	condescend_to
entertain	are_heckled_by	condescend_to
support, help, sympathize_with	are_thanked_by	condescend_to
ignore	are_chastised_by,  are_scolded_by	condescend_to
lecture_to	are_ignored_by	condescend_to
pander_to	are_disrespected_by, are_underappreciated_by	condescend_to
play_for	are_complimented_by, are_heckled_by, are_flattered_by, are_underpaid_by	condescend_to
play_with	are_bored_by	condescend_to
reach_out_to	are_disgusted_by	condescend_to
rule_over	are_resisted_by	condescend_to
rule_over	are_bored_by, are_unimpressed_by	condescend_to
sell_to	are_disrespected_by, are_underappreciated_by	condescend_to
speak_to	are_bored_by	condescend_to
subjugate	are_worshipped_by	condescend_to
sympathize_with	are_disrespected_by, are_cheated_by, are_lectured_by	condescend_to
talk_to	are_deceived_by, are_bored_by	condescend_to
tip	are_disrespected_by	condescend_to
whip	are_begged_by, are_cursed_by	condescend_to
woo	are_rebuffed_by	condescend_to
summon	are_obeyed_by, are_trusted_by	confer_with
confer_with	are_trusted_by, are_manipulated_by	confide_in
share_stories_with	are_trusted_by	confide_in
visit	are_welcomed_by	consult
blackmail	are_feared_by	control
entertain	are_worshipped_by	control
impress	are_worshipped_by	control
assist	are_inspired_by, are_impressed_by	copy
diagnose	are_trusted_by	counsel
instruct	are_disappointed_by	criticize
review	are_unimpressed_by, are_bored_by	criticize
operate_on	are_feared_by	cure
assist	are_underpaid_by	curry_favor_with
compliment	are_trusted_by, are_favored_by	curry_favor_with
rely_on	are_betrayed_by, are_abandoned_by	curse
answer	are_contradicted_by	debate
disagree_with	are_insulted_by, are_challenged_by	debate
deliver_to	are_insulted_by	deceive
campaign_against	are_censured_by, are_heckled_by, are_threatened_by	defeat
fight	are_underestimated_by	defeat
suppress	are_resisted_by	defeat
deceive	are_uncovered_by, are_reported_by	beg_forgiveness_from
deceive	are_trusted_by	defraud
are_informed_by	are_deceived_by	denounce
debrief	are_deceived_by	denounce
examine	are_deceived_by	denounce
inspire	are_copied_by, are_upstaged_by	denounce
study	are_disillusioned_by	denounce
support	are_betrayed_by	denounce
recruit	are_impressed_by	deploy
build_for	are_exploited_by, are_pushed_too_far_by	destroy
denounce	are_attacked_by	destroy
favor	are_exploited_by, are_cheated_by	destroy
identify_with	are_corrupted_by	destroy
spread_lies_about	are_feared_by	destroy
prey_on	are_feared_by	devour
observe	are_disgusted_by, are_shocked_by	diagnose
evaluate	are_concerned_about	diagnose
believe_in	are_inspired_by, are_brainwashed_by	die_for
curry_favor_with	are_favored_by	die_for
defend	are_respected_by	die_for
follow	are_inspired_by, are_brainwashed_by, are_molded_by	die_for
learn_from, study_under	are_brainwashed_by, are_indoctrinated_by	die_for
take_up_with	are_manipulated_by	die_for
design_for	are_lectured_by	disagree_with
obey	are_disillusioned_by,  are_deceived_by	disagree_with
confess_to	are_forgiven_by	disappoint
curry_favor_with	are_promoted_by	disappoint
govern_for	are_pushed_too_far_by	disappoint
govern_for	are_trusted_by	disappoint
inherit_from	are_inspired_by	disappoint
nurture	are_worshipped_by	disappoint
serve	are_pushed_too_far_by	disappoint
work_for	are_pushed_too_far_by	disappoint
abuse	are_bitten_by	disfigure
beautify	are_sued_by, are_disrespected_by, are_underpaid_by	disfigure
enhance	are_disrespected_by	disfigure
operate_on	are_disrespected_by, are_pushed_too_far_by	disfigure
pine_for	are_mocked_by	disfigure
style_for	are_insulted_by, are_humiliated_by	disfigure
torture	are_cursed_by	disfigure
treat	are_insulted_by, are_disrespected_by	disfigure
appoint	are_upstaged_by	dismiss
dispatch	are_misrepresented_by	dismiss
enlist	are_misrepresented_by	dismiss
recruit	are_deceived_by, are_exploited_by, are_unimpressed_with	dismiss
obey	are_deceived_by, are_disgusted_by, are_exploited_by	disobey
interview	are_disgusted_by, are_shocked_by	disqualify
nominate	are_disillusioned_by, are_disappointed_by	disqualify
live_with	are_disgusted_by, are_pushed_too_far_by	divorce
marry	are_betrayed_by	divorce
marry	are_deceived_by, are_bored_by	divorce
provide_for	are_exploited_by, are_pushed_too_far_by, are_underappreciated_by,	divorce
enchant	are_worshipped_by, are_obeyed_by, are_trusted_by	dominate
intimidate	are_feared_by	dominate
attract	are_bored_by	dump
consort_with	are_exploited_by, are_cheated_by	dump
drive_for	are_disrespected_by	dump
fall_in_love_with	are_deceived_by, are_disrespected_by, are_bored_with	dump
finance	are_cheated_by, are_deceived_by, are_disrespected_by	dump
invest_in	are_insulted_by, are_deceived_by, are_disrespected_by	dump
pick	are_disrespected_by	dump
seduce	are_bored_by	dump
supply_to	are_disrespected_by, are_cheated_by	dump
support	are_betrayed_by	dump
train	are_upstaged_by, are_disrespected_by, are_underappreciated_by	dump
transport	are_disrespected_by	dump
are_exploited_by	are_pushed_too_far_by	eject
cater_to	are_exploited_by, are_disrespected_by, are_pushed_too_far_by	eject
devour	are_sickened_by	eject
educate	are_driven_mad_by, are_disrespected_by	eject
host	are_insulted_by	eject
let_in	are_exploited_by, are_cheated_by	eject
let_in	are_offended_by, are_insulted_by, are_disrespected_by	eject
navigate_for	are_disrespected_by, are_pushed_too_far_by	eject
receive	are_disrespected_by, are_lectured_by, are_chastised_by, are_insulted_by	eject
welcome	are_insulted_by	eject
abandon	are_pursued_by	elude
escape_from	are_pursued_by	elude
flatter	are_trusted_by, are_welcomed_by	enchant
lecture_to	are_impressed_by	encourage
compete_against	are_impressed_by	enlist
fight_against	are_impressed_by	enlist
enchant	are_worshipped_by, are_obeyed_by, are_trusted_by	enslave
rule	are_worshipped_by	enslave
rule	are_resisted_by	enslave
seduce	are_worshipped_by	enslave
seek	are_ignored_by	kiss_up_to, lick_up_to
spy_on	are_impressed_by, are_intrigued_by	fall_in_love_with
hide_from	are_found_by	escape_from
interview	are_disillusioned_by	spread_lies_about
accommodate	are_frustrated_by, are_deceived_by, are_disrespected_by, are_cheated_by	evict
lease_to	are_disrespected_by	evict
rent_to	are_exploited_by, are_cheated_by, are_underpaid_by, are_pushed_too_far_by	evict
baptise	are_disappointed_by	excommunicate
condemn	are_mocked_by	excommunicate
govern_via	are_misrepresented_by	execute
rescue	are_trusted_by	exploit
sign_up	are_trusted_by	exploit
model_for	are_pushed_too_far_by, are_overworked_by	fail_to_deliver_for
negotiate_for	are_pushed_too_far_by, are_overworked_by	fail_to_deliver_for
protect	are_underappreciated_by, are_pushed_too_far_by, are_underpaid_by	fail_to_deliver_for
report_to	are_underpaid_by, are_underappreciated_by	fail_to_deliver_for
represent	are_underpaid_by, are_underappreciated_by	fail_to_deliver_for
serve	are_pushed_too_far_by	fail_to_deliver_for
supply	are_cheated_by, are_deceived_by, are_disrespected_by	fail_to_deliver_for
train_with	are_pushed_too_far_by	fail_to_deliver_for
wait_on	are_pushed_too_far_by	fail_to_deliver_for
work_for	are_trusted_by	fail_to_deliver_for
work_for	are_pushed_too_far_by	fail_to_deliver_for
abuse	are_moved_by, sympathize_with	fall_in_love_with
argue_with	are_impressed_by	fall_in_love_with
avoid	are_pursued_by	fall_in_love_with
betray	are_forgiven_by	fall_in_love_with
capture	are_seduced_by	fall_in_love_with
compete_with	are_impressed_by	fall_in_love_with
date	are_impressed_by, are_charmed_by	fall_in_love_with
detain	are_moved_by, are_seduced_by	fall_in_love_with
enslave	are_moved_by, are_seduced_by	fall_in_love_with
fail_to_deliver_for	are_forgiven_by	fall_in_love_with
guard	are_seduced_by, are_inspired_by	fall_in_love_with
inspire	are_painted_by, are_photographed_by	fall_in_love_with
kidnap	are_seduced_by	fall_in_love_with
listen_to	are_moved_by	fall_in_love_with
listen_to	are_entertained_by	fall_in_love_with
massage	are_seduced_by	fall_in_love_with
paint	are_inspired_by	fall_in_love_with
reject	are_seduced_by	fall_in_love_with
rescue	are_moved_by	fall_in_love_with
respect	are_inspired_by, are_impressed_by	fall_in_love_with
save	are_worshipped_by	fall_in_love_with
seek_advice_from	are_inspired_by	fall_in_love_with
show_loyalty_to	are_rewarded_by	fall_in_love_with
sleep_with	are_deflowered_by	fall_in_love_with
sleep_with	are_impressed_by	fall_in_love_with
travel_with	are_entertained_by	fall_in_love_with
work_with	are_saved_by	fall_in_love_with
rank	are_bought_off_by, are_seduced_by	favor
bow_down_to	are_oppressed_by, are_persecuted_by, are_humiliated_by	fear
decapitate	are_haunted_by	fear
imprison	are_despised_by	fear
persecute	are_despised_by	fear
underestimate	are_bitten_by	fear
baptize	are_moved_by	feel_sorry_for
break_up_with	are_stalked_by	feel_sorry_for
cast_out	are_concerned_about	feel_sorry_for
haunt	are_feared_by	feel_sorry_for
fight_for	are_disrespected_by	fight_against
fight_with	are_insulted_by, are_disrespected_by	fight_against
fight_against	are_blackmailed_by, are_bought_off_by, are_moved_by, are_impressed_by	fight_with
search_for	are_underestimated_by	find
act_via	are_deceived_by, are_disrespected_by, are_unimpressed_with	fire
communicate_through	are_misrepresented_by	fire
communicate_via	are_misrepresented_by	fire
delegate_to	are_disappointed_by, are_upstaged_by	fire
hire	are_disillusioned_by, are_exploited_by, are_deceived_by	fire
debate_with	are_misrepresented_by	humiliate
speak_through	are_misrepresented_by	fire
fall_in_love_with	are_ignored_by	flatter
chat_with	are_impressed_by, are_attracted_by, are_flattered_by	flirt_with
talk_to	are_attracted_by	flirt_with
travel_with	are_attracted_by	flirt_with
woo	are_kissed_by	flirt_with
listen_to	are_entertained_by	follow
condemn	sympathize_with, are_moved_by	forgive
defeat	are_bought_off_by	forgive
abuse	are_moved_by, sympathize_with, pity	free
learn_from, study_under	are_deceived_by, are_manipulated_by	grow_suspicious_of
campaign_against	are_humiliated_by	hate
curry_favor_with	are_humiliated_by	hate
dislike	are_insulted_by, are_mocked_by, are_taunted_by, are_humiliated_by	hate
encourage	are_supplanted_by, are_upstaged_by	hate
entertain	are_ignored_by	hate
love	are_betrayed_by, are_cheated_by	hate
obtain_sympathy_from	are_pitied_by	hate
seek_forgiveness_from	are_pitied_by	hate
leave_behind	are_remembered_by	haunt
listen_to	are_bored_by	heckle
abandon	are_pursued_by	hide_from
accuse	are_threatened_by	hide_from
disappoint	are_threatened_by, are_intimidated_by	hide_from
encourage	are_stalked_by	hide_from
escape_from	are_pursued_by	hide_from
refuse_to_pay	are_threatened_by	hide_from
release	are_stalked_by	hide_from
run_away_from	are_pursued_by	hide_from
seek_advice_from	are_humiliated_by	spread_lies_about, kill, attack
communicate_with	are_disrespected_by, are_insulted_by, are_driven_mad_by	humiliate
debate	are_misrepresented_by, are_bored_by	humiliate
dress	are_upstaged_by	humiliate
entertain	are_heckled_by	humiliate
imitate	are_heckled_by	humiliate
incarcerate	are_bitten_by	humiliate
manage	are_disrespected_by	humiliate
pamper	are_betrayed_by	humiliate
photograph	are_attacked_by, are_bitten_by	humiliate
pitch_at	are_insulted_by	humiliate
settle_with	are_insulted_by	humiliate
sire	are_unimpressed_by	humiliate
summon	are_disobeyed_by, are_ignored_by	humiliate
trick	are_trusted_by	humiliate
fall_in_love_with	are_abandoned_by	hunt
apprehend	are_moved_by, are_inspired_by	identify_with
learn_from, study_under	are_molded_by, are_impressed_by	identify_with
persecute	are_moved_by	identify_with
pick_on	are_moved_by	identify_with
profit_from	are_moved_by	identify_with
surrender_to	are_respected_by	identify_with
sympathize_with	are_inspired_by	identify_with
torment	are_moved_by	identify_with
cede_power_to	are_inspired_by	imitate
compete_with	are_impressed_by	imitate
inspire	are_upstaged_by	imitate
learn_from, study_under	are_molded_by, are_impressed_by	imitate
overthrow	are_inspired_by, are_corrupted_by	imitate
remember	are_inspired_by	imitate
are_pursued_by	elude	impress
supplant	are_inspired_by	impress
unleash	are_bitten_by	imprison
charge	are_threatened_by	incarcerate
abuse	are_feared_by	indoctrinate
appoint	are_feared_by, are_worshipped_by	indoctrinate
discipline	are_feared_by	indoctrinate
dominate	are_worshipped_by, are_trusted_by	indoctrinate
forgive	are_respected_by	indoctrinate
heal	are_worshipped_by	indoctrinate
imprison	are_despised_by	indoctrinate
inspire	are_worshipped_by	indoctrinate
manipulate	are_worshipped_by	indoctrinate
minister_to	are_trusted_by	indoctrinate
persuade	are_trusted_by	indoctrinate
punish	are_feared_by	indoctrinate
raise	are_worshipped_by, are_trusted_by	indoctrinate
rule	are_worshipped_by, are_trusted_by	indoctrinate
starve	are_begged_by	indoctrinate
subjugate	are_feared_by	indoctrinate
suppress	are_feared_by	indoctrinate
teach	are_feared_by, are_trusted_by	indoctrinate
tend	are_worshipped_by	indoctrinate
torture	are_feared_by	indoctrinate
train	are_respected_by	indoctrinate
are_protected_by	are_impressed_by	inspire
die_for	are_worshipped_by	inspire
entertain	are_worshipped_by	inspire
lead	are_respected_by	inspire
instruct	are_disappointed_by	insult
play_for	are_heckled_by	insult
praise	are_rebuffed_by	insult
question	are_deceived_by	interrogate
round_up	are_resisted_by	interrogate
seek	are_disgusted_by, are_shocked_by	interrogate
lick_up_to	are_respected_by	exploit, manipulate
believe_in	are_respected_by	invest_in
feel_sorry_for	are_feared_by	kidnap
abet	are_betrayed_by	kill
take_aim_at	are_trusted_by	kill
are_stalked_by	lay_a_trap_for	kill
argue_with	are_driven_mad_by	kill
catch	are_insulted_by, are_attacked_by	kill
command	are_disobeyed_by, are_betrayed_by	kill
condemn	are_mocked_by	kill
conspire_with	are_blackmailed_by	kill
control	are_betrayed_by	kill
curse	are_ignored_by, are_mocked_by	kill
deal_with	are_cheated_by	kill
detain	are_insulted_by, are_attacked_by	kill
disrespect	are_attacked_by	kill
divorce	are_stalked_by	kill
eject	are_threatened_by	kill
enslave	are_disrespected_by	kill
experiment_on	are_bitten_by, are_bored_by	kill
fall_in_love_with	are_spurned_by	kill
guard	are_disrespected_by	kill
heckle	are_humiliated_by	kill
hide_from	are_found_by	kill
intimidate_with	are_betrayed_by	kill
kill_for	are_betrayed_by, are_underpaid_by, are_disrespected_by	kill
lay_a_trap_for	are_underestimated_by	kill
mate_with	are_betrayed_by, are_abandoned_by	kill
pick_up	are_robbed_by	kill
show_loyalty_to	are_betrayed_by	kill
stalk	are_bored_by	kill
stand_up_to	are_attacked_by	kill
starve	are_bitten_by	kill
take_up_with	are_betrayed_by	kill
target	are_ignored_by	kill
tend	are_bitten_by	kill
threaten	are_ignored_by	kill
torture	are_informed_by	kill
turn_against	are_beaten_by, are_attacked_by	kill
turn_against	are_threatened_by	kill
believe_in	are_brainwashed_by	kill_for
take_up_with	are_manipulated_by	kill_for
worship	are_flattered_by, are_seduced_by	kill_for
campaign_for, vote_for	are_spurned_by, are_disappointed_by	spread_lies_about, campaign_against
date	are_disappointed_by, are_unimpressed_by, are_upstaged_by, are_bored_by	dump
date	are_seduced_by, are_charmed_by, are_intrigued_by	sleep_with
lick_up_to, kiss_up_to	are_ignored_by	resent
seek_advice_from	are_impressed_by	kiss_up_to
work_for	are_ignored_by, are_distrusted_by	kiss_up_to
bow_down_to	are_ruled_by	labor_for
bow_down_to	are_enslaved_by	labor_for
cede_power_to	are_ruled_by	labor_for
chase	are_taunted_by	lay_a_trap_for
chase_after	are_taunted_by	lay_a_trap_for
dump	are_stalked_by	lay_a_trap_for
elude	are_tracked_by	lay_a_trap_for
escape_from	are_pursued_by	lay_a_trap_for
flee_from	are_tracked_by	lay_a_trap_for
pine_for	are_eluded_by, are_ignored_by	lay_a_trap_for
look_for	are_trusted_by	lay_a_trap_for
prey_on	are_underestimated_by	lay_a_trap_for
pursue	are_taunted_by	lay_a_trap_for
run_away_from	are_pursued_by	lay_a_trap_for
search_for	are_eluded_by, are_taunted_by	lay_a_trap_for
spy_on	are_trusted_by	lay_a_trap_for
stalk	are_eluded_by, are_taunted_by	lay_a_trap_for
turn_against	are_underestimated_by	lay_a_trap_for
advise	are_disrespected_by, are_underpaid_by, are_spurned_by	lead_astray
appoint	are_feared_by, are_worshipped_by	lead_astray
care_for	are_worshipped_by	lead_astray
counsel	are_respected_by, are_trusted_by	lead_astray
cure	are_worshipped_by	lead_astray
deceive	are_trusted_by	lead_astray
elude	are_tracked_by	lead_astray
enchant	are_worshipped_by, are_obeyed_by, are_trusted_by	lead_astray
indoctrinate	are_trusted_by	lead_astray
lie_to	are_trusted_by	lead_astray
mentor	are_worshipped_by, are_trusted_by	lead_astray
preach_to	are_obeyed_by	lead_astray
rouse	are_obeyed_by	lead_astray
sign_up	are_obeyed_by, are_trusted_by	lead_astray
silence	are_obeyed_by	lead_astray
tend	are_worshipped_by	lead_astray
translate_for	are_trusted_by	lead_astray
work_with	are_trusted_by	lead_astray
write_for	are_underpaid_by, are_disgusted_by, are_underappreciated_by, are_disrespected_by	lead_astray
interrogate	are_feared_by	learn_from
mimic	are_inspired_by	learn_from
give_birth_to	are_bitten_by	let_go_of
give_birth_to	are_abandoned_by	let_go_of
welcome	are_deceived_by, are_attracted_by	let_in
lose_favor_with	are_dumped_by	lick_up_to
study	are_disrespected_by, are_distrusted_by	lick_up_to
work_for	are_ignored_by, are_distrusted_by	lick_up_to
diagnose	are_concerned_about	lie_to
report_to	are_disrespected_by, are_underappreciated_by	lie_to
take_messages_for	are_disrespected_by, are_underappreciated_by, are_underpaid_by	lie_to
testify_before	are_interrogated_by	lie_to
summon	are_flattered_by	listen_to
alienate	are_abandoned_by, are_dumped_by	look_for
tower_over	are_toppled_by	look_up_to
underestimate	are_supplanted_by, are_upstaged_by	look_up_to
control	are_deceived_by, are_tricked_by, are_seduced_by	lose_control_over
dispatch	are_forgotten_by	lose_control_over
free	are_thanked_by	lose_control_over
indulge	are_exploited_by	lose_control_over
lead_astray	are_blackmailed_by	lose_control_over
manage	are_seduced_by	lose_control_over
overwork	are_sued_by	lose_control_over
send	are_upstaged_by, are_misrepresented_by	lose_control_over
sleep_with	are_blackmailed_by	lose_control_over
spoil	are_exploited_by	lose_control_over
advise	are_disgusted_by, are_shocked_by	lose_faith_in
advocate_for	are_deceived_by, are_exploited_by, are_disgusted_by, are_shocked_by	lose_faith_in
appeal_to	are_rebuffed_by	lose_faith_in
confer_with	are_manipulated_by, are_deceived_by, are_cheated_by	lose_faith_in
consult	are_bored_by, are_lectured_by	lose_faith_in
disagree_with	are_misrepresented_by, are_deceived_by	lose_faith_in
disagree_with	are_silenced_by, are_censured_by	lose_faith_in
pray_to	are_ignored_by	lose_faith_in
reward	are_disrespected_by, are_underappreciated_by	lose_faith_in
serve	are_disillusioned_by, are_disgusted_by	lose_faith_in
show_loyalty_to	are_pushed_too_far_by	lose_faith_in
