Final Action	Number of Stories	Closing Action
on/victims	143	"The best victims are universally-despised victims and the worst are poor wretched fools. Which is B most like?, The best victims are universally-despised victims and the worst are cute puppies. Which is B most like?, The best victims are universally-despised victims and the worst are cute kittens. Which is B most like?, The best victims are universally-despised victims and the worst are lost puppies. Which is B most like?, The best victims are universally-despised victims and the worst are cute kids and animals. Which is B most like?, The best victims are universally-despised victims and the worst are eloquent martyrs. Which is B most like?, The best victims are universally-despised victims and the worst are loudmouth atheists. Which is B most like?, The best victims are universally-despised victims and the worst are in-your-face atheists. Which is B most like?, The best victims are universally-despised victims and the worst are masochists who love pain. Which is B most like?, The best victims are universally-despised victims and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are universally-despised victims and the worst are high-profile church elders. Which is B most like?, The best victims are truly unpopular people and the worst are poor wretched fools. Which is B most like?, The best victims are truly unpopular people and the worst are cute puppies. Which is B most like?, The best victims are truly unpopular people and the worst are cute kittens. Which is B most like?, The best victims are truly unpopular people and the worst are lost puppies. Which is B most like?, The best victims are truly unpopular people and the worst are cute kids and animals. Which is B most like?, The best victims are truly unpopular people and the worst are eloquent martyrs. Which is B most like?, The best victims are truly unpopular people and the worst are loudmouth atheists. Which is B most like?, The best victims are truly unpopular people and the worst are in-your-face atheists. Which is B most like?, The best victims are truly unpopular people and the worst are masochists who love pain. Which is B most like?, The best victims are truly unpopular people and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are truly unpopular people and the worst are high-profile church elders. Which is B most like?, The best victims are filthy beasts and the worst are poor wretched fools. Which is B most like?, The best victims are filthy beasts and the worst are cute puppies. Which is B most like?, The best victims are filthy beasts and the worst are cute kittens. Which is B most like?, The best victims are filthy beasts and the worst are lost puppies. Which is B most like?, The best victims are filthy beasts and the worst are cute kids and animals. Which is B most like?, The best victims are filthy beasts and the worst are eloquent martyrs. Which is B most like?, The best victims are filthy beasts and the worst are loudmouth atheists. Which is B most like?, The best victims are filthy beasts and the worst are in-your-face atheists. Which is B most like?, The best victims are filthy beasts and the worst are masochists who love pain. Which is B most like?, The best victims are filthy beasts and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are filthy beasts and the worst are high-profile church elders. Which is B most like?, The best victims are French tourists and the worst are poor wretched fools. Which is B most like?, The best victims are French tourists and the worst are cute puppies. Which is B most like?, The best victims are French tourists and the worst are cute kittens. Which is B most like?, The best victims are French tourists and the worst are lost puppies. Which is B most like?, The best victims are French tourists and the worst are cute kids and animals. Which is B most like?, The best victims are French tourists and the worst are eloquent martyrs. Which is B most like?, The best victims are French tourists and the worst are loudmouth atheists. Which is B most like?, The best victims are French tourists and the worst are in-your-face atheists. Which is B most like?, The best victims are French tourists and the worst are masochists who love pain. Which is B most like?, The best victims are French tourists and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are French tourists and the worst are high-profile church elders. Which is B most like?, The best victims are crass Americans and the worst are poor wretched fools. Which is B most like?, The best victims are crass Americans and the worst are cute puppies. Which is B most like?, The best victims are crass Americans and the worst are cute kittens. Which is B most like?, The best victims are crass Americans and the worst are lost puppies. Which is B most like?, The best victims are crass Americans and the worst are cute kids and animals. Which is B most like?, The best victims are crass Americans and the worst are eloquent martyrs. Which is B most like?, The best victims are crass Americans and the worst are loudmouth atheists. Which is B most like?, The best victims are crass Americans and the worst are in-your-face atheists. Which is B most like?, The best victims are crass Americans and the worst are masochists who love pain. Which is B most like?, The best victims are crass Americans and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are crass Americans and the worst are high-profile church elders. Which is B most like?, The best victims are dull Germans and the worst are poor wretched fools. Which is B most like?, The best victims are dull Germans and the worst are cute puppies. Which is B most like?, The best victims are dull Germans and the worst are cute kittens. Which is B most like?, The best victims are dull Germans and the worst are lost puppies. Which is B most like?, The best victims are dull Germans and the worst are cute kids and animals. Which is B most like?, The best victims are dull Germans and the worst are eloquent martyrs. Which is B most like?, The best victims are dull Germans and the worst are loudmouth atheists. Which is B most like?, The best victims are dull Germans and the worst are in-your-face atheists. Which is B most like?, The best victims are dull Germans and the worst are masochists who love pain. Which is B most like?, The best victims are dull Germans and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are dull Germans and the worst are high-profile church elders. Which is B most like?, The best victims are homeless people and the worst are poor wretched fools. Which is B most like?, The best victims are homeless people and the worst are cute puppies. Which is B most like?, The best victims are homeless people and the worst are cute kittens. Which is B most like?, The best victims are homeless people and the worst are lost puppies. Which is B most like?, The best victims are homeless people and the worst are cute kids and animals. Which is B most like?, The best victims are homeless people and the worst are eloquent martyrs. Which is B most like?, The best victims are homeless people and the worst are loudmouth atheists. Which is B most like?, The best victims are homeless people and the worst are in-your-face atheists. Which is B most like?, The best victims are homeless people and the worst are masochists who love pain. Which is B most like?, The best victims are homeless people and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are homeless people and the worst are high-profile church elders. Which is B most like?, The best victims are unpopular politicians and the worst are poor wretched fools. Which is B most like?, The best victims are unpopular politicians and the worst are cute puppies. Which is B most like?, The best victims are unpopular politicians and the worst are cute kittens. Which is B most like?, The best victims are unpopular politicians and the worst are lost puppies. Which is B most like?, The best victims are unpopular politicians and the worst are cute kids and animals. Which is B most like?, The best victims are unpopular politicians and the worst are eloquent martyrs. Which is B most like?, The best victims are unpopular politicians and the worst are loudmouth atheists. Which is B most like?, The best victims are unpopular politicians and the worst are in-your-face atheists. Which is B most like?, The best victims are unpopular politicians and the worst are masochists who love pain. Which is B most like?, The best victims are unpopular politicians and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are unpopular politicians and the worst are high-profile church elders. Which is B most like?, The best victims are villainous scum and the worst are poor wretched fools. Which is B most like?, The best victims are villainous scum and the worst are cute puppies. Which is B most like?, The best victims are villainous scum and the worst are cute kittens. Which is B most like?, The best victims are villainous scum and the worst are lost puppies. Which is B most like?, The best victims are villainous scum and the worst are cute kids and animals. Which is B most like?, The best victims are villainous scum and the worst are eloquent martyrs. Which is B most like?, The best victims are villainous scum and the worst are loudmouth atheists. Which is B most like?, The best victims are villainous scum and the worst are in-your-face atheists. Which is B most like?, The best victims are villainous scum and the worst are masochists who love pain. Which is B most like?, The best victims are villainous scum and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are villainous scum and the worst are high-profile church elders. Which is B most like?, The best victims are obvious villains and the worst are poor wretched fools. Which is B most like?, The best victims are obvious villains and the worst are cute puppies. Which is B most like?, The best victims are obvious villains and the worst are cute kittens. Which is B most like?, The best victims are obvious villains and the worst are lost puppies. Which is B most like?, The best victims are obvious villains and the worst are cute kids and animals. Which is B most like?, The best victims are obvious villains and the worst are eloquent martyrs. Which is B most like?, The best victims are obvious villains and the worst are loudmouth atheists. Which is B most like?, The best victims are obvious villains and the worst are in-your-face atheists. Which is B most like?, The best victims are obvious villains and the worst are masochists who love pain. Which is B most like?, The best victims are obvious villains and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are obvious villains and the worst are high-profile church elders. Which is B most like?, The best victims are unsympathetic victims and the worst are poor wretched fools. Which is B most like?, The best victims are unsympathetic victims and the worst are cute puppies. Which is B most like?, The best victims are unsympathetic victims and the worst are cute kittens. Which is B most like?, The best victims are unsympathetic victims and the worst are lost puppies. Which is B most like?, The best victims are unsympathetic victims and the worst are cute kids and animals. Which is B most like?, The best victims are unsympathetic victims and the worst are eloquent martyrs. Which is B most like?, The best victims are unsympathetic victims and the worst are loudmouth atheists. Which is B most like?, The best victims are unsympathetic victims and the worst are in-your-face atheists. Which is B most like?, The best victims are unsympathetic victims and the worst are masochists who love pain. Which is B most like?, The best victims are unsympathetic victims and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are unsympathetic victims and the worst are high-profile church elders. Which is B most like?, The best victims are easy-to-hate people and the worst are poor wretched fools. Which is B most like?, The best victims are easy-to-hate people and the worst are cute puppies. Which is B most like?, The best victims are easy-to-hate people and the worst are cute kittens. Which is B most like?, The best victims are easy-to-hate people and the worst are lost puppies. Which is B most like?, The best victims are easy-to-hate people and the worst are cute kids and animals. Which is B most like?, The best victims are easy-to-hate people and the worst are eloquent martyrs. Which is B most like?, The best victims are easy-to-hate people and the worst are loudmouth atheists. Which is B most like?, The best victims are easy-to-hate people and the worst are in-your-face atheists. Which is B most like?, The best victims are easy-to-hate people and the worst are masochists who love pain. Which is B most like?, The best victims are easy-to-hate people and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are easy-to-hate people and the worst are high-profile church elders. Which is B most like?, The best victims are has-been celebrities and the worst are poor wretched fools. Which is B most like?, The best victims are has-been celebrities and the worst are cute puppies. Which is B most like?, The best victims are has-been celebrities and the worst are cute kittens. Which is B most like?, The best victims are has-been celebrities and the worst are lost puppies. Which is B most like?, The best victims are has-been celebrities and the worst are cute kids and animals. Which is B most like?, The best victims are has-been celebrities and the worst are eloquent martyrs. Which is B most like?, The best victims are has-been celebrities and the worst are loudmouth atheists. Which is B most like?, The best victims are has-been celebrities and the worst are in-your-face atheists. Which is B most like?, The best victims are has-been celebrities and the worst are masochists who love pain. Which is B most like?, The best victims are has-been celebrities and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are has-been celebrities and the worst are high-profile church elders. Which is B most like?"	
of/prisoners	6	"The best prisoners are villainous scum and the worst are wrongly-accused men. Which is B most like?, The best prisoners are villainous scum and the worst are prisoners of conscience. Which is B most like?, The best prisoners are murderers and the worst are wrongly-accused men. Which is B most like?, The best prisoners are murderers and the worst are prisoners of conscience. Which is B most like?, The best prisoners are hardened criminals and the worst are wrongly-accused men. Which is B most like?, The best prisoners are hardened criminals and the worst are prisoners of conscience. Which is B most like?"	
against/prisoners	6	"The best prisoners are villainous scum and the worst are wrongly-accused men. Which is B most like?, The best prisoners are villainous scum and the worst are prisoners of conscience. Which is B most like?, The best prisoners are murderers and the worst are wrongly-accused men. Which is B most like?, The best prisoners are murderers and the worst are prisoners of conscience. Which is B most like?, The best prisoners are hardened criminals and the worst are wrongly-accused men. Which is B most like?, The best prisoners are hardened criminals and the worst are prisoners of conscience. Which is B most like?"	
on/prisoners	6	"The best prisoners are villainous scum and the worst are wrongly-accused men. Which is B most like?, The best prisoners are villainous scum and the worst are prisoners of conscience. Which is B most like?, The best prisoners are murderers and the worst are wrongly-accused men. Which is B most like?, The best prisoners are murderers and the worst are prisoners of conscience. Which is B most like?, The best prisoners are hardened criminals and the worst are wrongly-accused men. Which is B most like?, The best prisoners are hardened criminals and the worst are prisoners of conscience. Which is B most like?"	
against/enemies	6	"The best enemies are unpopular enemies and the worst are enemies with more guns and more money. Which is B most like?, The best enemies are unpopular enemies and the worst are god-fearing enemies. Which is B most like?, The best enemies are universal enemies and the worst are enemies with more guns and more money. Which is B most like?, The best enemies are universal enemies and the worst are god-fearing enemies. Which is B most like?, The best enemies are real villains and the worst are enemies with more guns and more money. Which is B most like?, The best enemies are real villains and the worst are god-fearing enemies. Which is B most like?"	
on/enemies	6	"The best enemies are unpopular enemies and the worst are enemies with more guns and more money. Which is B most like?, The best enemies are unpopular enemies and the worst are god-fearing enemies. Which is B most like?, The best enemies are universal enemies and the worst are enemies with more guns and more money. Which is B most like?, The best enemies are universal enemies and the worst are god-fearing enemies. Which is B most like?, The best enemies are real villains and the worst are enemies with more guns and more money. Which is B most like?, The best enemies are real villains and the worst are god-fearing enemies. Which is B most like?"	
for/rulers	12	"The best rulers are easily-bribed rulers and the worst are rulers without a popular mandate. Which is B most like?, The best rulers are easily-bribed rulers and the worst are rulers that raise taxes. Which is B most like?, The best rulers are easily-bribed rulers and the worst are haughty rulers. Which is B most like?, The best rulers are generous rulers and the worst are rulers without a popular mandate. Which is B most like?, The best rulers are generous rulers and the worst are rulers that raise taxes. Which is B most like?, The best rulers are generous rulers and the worst are haughty rulers. Which is B most like?, The best rulers are men of the people and the worst are rulers without a popular mandate. Which is B most like?, The best rulers are men of the people and the worst are rulers that raise taxes. Which is B most like?, The best rulers are men of the people and the worst are haughty rulers. Which is B most like?, The best rulers are populist rulers and the worst are rulers without a popular mandate. Which is B most like?, The best rulers are populist rulers and the worst are rulers that raise taxes. Which is B most like?, The best rulers are populist rulers and the worst are haughty rulers. Which is B most like?"	
for/despots	6	"The best despots are dimwitted despots and the worst are despots that suppress the church. Which is B most like?, The best despots are dimwitted despots and the worst are despots that confiscate church lands. Which is B most like?, The best despots are pliable despots and the worst are despots that suppress the church. Which is B most like?, The best despots are pliable despots and the worst are despots that confiscate church lands. Which is B most like?, The best despots are easily-controlled despots and the worst are despots that suppress the church. Which is B most like?, The best despots are easily-controlled despots and the worst are despots that confiscate church lands. Which is B most like?"	
on/suspects	8	"The best suspects are obvious suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are obvious suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy Arab-looking neighbours. Which is B most like?"	
for/authorities	3	"The best authorities are indifferent authorities and the worst are over-zealous bureaucrats. Which is B most like?, The best authorities are indifferent authorities and the worst are soul-killing bureaucrats. Which is B most like?, The best authorities are indifferent authorities and the worst are heavy-handed authorities. Which is B most like?"	
for/regulators	6	"The best regulators are light-touch regulators and the worst are heavy-handed regulators. Which is B most like?, The best regulators are light-touch regulators and the worst are joy-killing regulators. Which is B most like?, The best regulators are light-touch regulators and the worst are the producers of red-tape. Which is B most like?, The best regulators are lethargic regulators and the worst are heavy-handed regulators. Which is B most like?, The best regulators are lethargic regulators and the worst are joy-killing regulators. Which is B most like?, The best regulators are lethargic regulators and the worst are the producers of red-tape. Which is B most like?"	
of/targets	4	"The best targets are unpopular targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are unpopular targets and the worst are much-loved celebrities. Which is B most like?, The best targets are foreign-sounding targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are foreign-sounding targets and the worst are much-loved celebrities. Which is B most like?"	
on/clients	6	"The best clients are rich clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are rich clients and the worst are pro-bono clients with no money. Which is B most like?, The best clients are generous clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are generous clients and the worst are pro-bono clients with no money. Which is B most like?, The best clients are easily-pleased clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are easily-pleased clients and the worst are pro-bono clients with no money. Which is B most like?"	
with/inspectors	9	"The best inspectors are hardass inspectors and the worst are one-eyed inspectors. Which is B most like?, The best inspectors are hardass inspectors and the worst are kickback-taking inspectors. Which is B most like?, The best inspectors are hardass inspectors and the worst are clueless inspectors. Which is B most like?, The best inspectors are thorough inspectors and the worst are one-eyed inspectors. Which is B most like?, The best inspectors are thorough inspectors and the worst are kickback-taking inspectors. Which is B most like?, The best inspectors are thorough inspectors and the worst are clueless inspectors. Which is B most like?, The best inspectors are unbribable inspectors and the worst are one-eyed inspectors. Which is B most like?, The best inspectors are unbribable inspectors and the worst are kickback-taking inspectors. Which is B most like?, The best inspectors are unbribable inspectors and the worst are clueless inspectors. Which is B most like?"	
of/suspects	8	"The best suspects are obvious suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are obvious suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy Arab-looking neighbours. Which is B most like?"	
on/heretics	12	"The best heretics are Jihad-spouting heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are Jihad-spouting heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are Jihad-spouting heretics and the worst are celebrity atheists. Which is B most like?, The best heretics are crazy cultists and the worst are the followers of false gods. Which is B most like?, The best heretics are crazy cultists and the worst are telegenic atheists. Which is B most like?, The best heretics are crazy cultists and the worst are celebrity atheists. Which is B most like?, The best heretics are fire-bellied heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are fire-bellied heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are fire-bellied heretics and the worst are celebrity atheists. Which is B most like?, The best heretics are bible-burning heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are bible-burning heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are bible-burning heretics and the worst are celebrity atheists. Which is B most like?"	
with/henchmen	16	"The best henchmen are loyal henchmen and the worst are ham-fisted goons. Which is B most like?, The best henchmen are loyal henchmen and the worst are heavy-breathing sadists. Which is B most like?, The best henchmen are loyal henchmen and the worst are knuckle-dragging henchmen. Which is B most like?, The best henchmen are loyal henchmen and the worst are black-hearted thugs. Which is B most like?, The best henchmen are unthinking henchmen and the worst are ham-fisted goons. Which is B most like?, The best henchmen are unthinking henchmen and the worst are heavy-breathing sadists. Which is B most like?, The best henchmen are unthinking henchmen and the worst are knuckle-dragging henchmen. Which is B most like?, The best henchmen are unthinking henchmen and the worst are black-hearted thugs. Which is B most like?, The best henchmen are unambitious henchmen and the worst are ham-fisted goons. Which is B most like?, The best henchmen are unambitious henchmen and the worst are heavy-breathing sadists. Which is B most like?, The best henchmen are unambitious henchmen and the worst are knuckle-dragging henchmen. Which is B most like?, The best henchmen are unambitious henchmen and the worst are black-hearted thugs. Which is B most like?, The best henchmen are pliable henchmen and the worst are ham-fisted goons. Which is B most like?, The best henchmen are pliable henchmen and the worst are heavy-breathing sadists. Which is B most like?, The best henchmen are pliable henchmen and the worst are knuckle-dragging henchmen. Which is B most like?, The best henchmen are pliable henchmen and the worst are black-hearted thugs. Which is B most like?"	
on/dissidents	8	"The best dissidents are hate-spouting dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are hate-spouting dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are loony extremists and the worst are rebels without a cause. Which is B most like?, The best dissidents are loony extremists and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are radical dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are radical dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are flag-burning dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are flag-burning dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?"	
for/chiefs	3	"The best chiefs are easygoing chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?, The best chiefs are trusting chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?, The best chiefs are old-school chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?"	
of/witnesses	3	"The best witnesses are witnesses with good memories and the worst are neighbours that bear false witness. Which is B most like?, The best witnesses are reliable witnesses and the worst are neighbours that bear false witness. Which is B most like?, The best witnesses are witnesses with good eyesight and the worst are neighbours that bear false witness. Which is B most like?"	
with/deputies	9	"The best deputies are loyal deputies and the worst are incompetent deputies. Which is B most like?, The best deputies are loyal deputies and the worst are bumbling deputies. Which is B most like?, The best deputies are loyal deputies and the worst are bungling deputies. Which is B most like?, The best deputies are unambitious deputies and the worst are incompetent deputies. Which is B most like?, The best deputies are unambitious deputies and the worst are bumbling deputies. Which is B most like?, The best deputies are unambitious deputies and the worst are bungling deputies. Which is B most like?, The best deputies are unquestioning deputies and the worst are incompetent deputies. Which is B most like?, The best deputies are unquestioning deputies and the worst are bumbling deputies. Which is B most like?, The best deputies are unquestioning deputies and the worst are bungling deputies. Which is B most like?"	
into/suspects	8	"The best suspects are obvious suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are obvious suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy Arab-looking neighbours. Which is B most like?"	
for/mentors	10	"The best mentors are insightful mentors and the worst are thy preachy in-laws. Which is B most like?, The best mentors are insightful mentors and the worst are pervy old men. Which is B most like?, The best mentors are experienced mentors and the worst are thy preachy in-laws. Which is B most like?, The best mentors are experienced mentors and the worst are pervy old men. Which is B most like?, The best mentors are knowledgeable mentors and the worst are thy preachy in-laws. Which is B most like?, The best mentors are knowledgeable mentors and the worst are pervy old men. Which is B most like?, The best mentors are practical mentors and the worst are thy preachy in-laws. Which is B most like?, The best mentors are practical mentors and the worst are pervy old men. Which is B most like?, The best mentors are mentors with small egos and the worst are thy preachy in-laws. Which is B most like?, The best mentors are mentors with small egos and the worst are pervy old men. Which is B most like?"	
with/supporters	6	"The best supporters are loyal supporters and the worst are supporters with empty pockets. Which is B most like?, The best supporters are loyal supporters and the worst are supporters with long memories. Which is B most like?, The best supporters are enthusiastic supporters and the worst are supporters with empty pockets. Which is B most like?, The best supporters are enthusiastic supporters and the worst are supporters with long memories. Which is B most like?, The best supporters are easily-pleased supporters and the worst are supporters with empty pockets. Which is B most like?, The best supporters are easily-pleased supporters and the worst are supporters with long memories. Which is B most like?"	
from/chiefs	3	"The best chiefs are easygoing chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?, The best chiefs are trusting chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?, The best chiefs are old-school chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?"	
of/chiefs	3	"The best chiefs are easygoing chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?, The best chiefs are trusting chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?, The best chiefs are old-school chiefs and the worst are blowhard chiefs with hearts of gold. Which is B most like?"	
for/generals	24	"The best generals are war-hardened generals and the worst are armchair generals. Which is B most like?, The best generals are war-hardened generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are war-hardened generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are war-hardened generals and the worst are apocalyptic generals. Which is B most like?, The best generals are shrewd generals and the worst are armchair generals. Which is B most like?, The best generals are shrewd generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are shrewd generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are shrewd generals and the worst are apocalyptic generals. Which is B most like?, The best generals are unpoliticial generals and the worst are armchair generals. Which is B most like?, The best generals are unpoliticial generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are unpoliticial generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are unpoliticial generals and the worst are apocalyptic generals. Which is B most like?, The best generals are generals without political ambitions and the worst are armchair generals. Which is B most like?, The best generals are generals without political ambitions and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are generals without political ambitions and the worst are armchair quarterbacks. Which is B most like?, The best generals are generals without political ambitions and the worst are apocalyptic generals. Which is B most like?, The best generals are war-ready generals and the worst are armchair generals. Which is B most like?, The best generals are war-ready generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are war-ready generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are war-ready generals and the worst are apocalyptic generals. Which is B most like?, The best generals are battle-tested generals and the worst are armchair generals. Which is B most like?, The best generals are battle-tested generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are battle-tested generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are battle-tested generals and the worst are apocalyptic generals. Which is B most like?"	
for/commanders	12	"The best commanders are war-hardened commanders and the worst are cut-throat commanders. Which is B most like?, The best commanders are war-hardened commanders and the worst are war-crazed commanders. Which is B most like?, The best commanders are war-hardened commanders and the worst are unhinged hawks. Which is B most like?, The best commanders are experienced commanders and the worst are cut-throat commanders. Which is B most like?, The best commanders are experienced commanders and the worst are war-crazed commanders. Which is B most like?, The best commanders are experienced commanders and the worst are unhinged hawks. Which is B most like?, The best commanders are strategic commanders and the worst are cut-throat commanders. Which is B most like?, The best commanders are strategic commanders and the worst are war-crazed commanders. Which is B most like?, The best commanders are strategic commanders and the worst are unhinged hawks. Which is B most like?, The best commanders are battle-tested generals and the worst are cut-throat commanders. Which is B most like?, The best commanders are battle-tested generals and the worst are war-crazed commanders. Which is B most like?, The best commanders are battle-tested generals and the worst are unhinged hawks. Which is B most like?"	
from/generals	24	"The best generals are war-hardened generals and the worst are armchair generals. Which is B most like?, The best generals are war-hardened generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are war-hardened generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are war-hardened generals and the worst are apocalyptic generals. Which is B most like?, The best generals are shrewd generals and the worst are armchair generals. Which is B most like?, The best generals are shrewd generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are shrewd generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are shrewd generals and the worst are apocalyptic generals. Which is B most like?, The best generals are unpoliticial generals and the worst are armchair generals. Which is B most like?, The best generals are unpoliticial generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are unpoliticial generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are unpoliticial generals and the worst are apocalyptic generals. Which is B most like?, The best generals are generals without political ambitions and the worst are armchair generals. Which is B most like?, The best generals are generals without political ambitions and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are generals without political ambitions and the worst are armchair quarterbacks. Which is B most like?, The best generals are generals without political ambitions and the worst are apocalyptic generals. Which is B most like?, The best generals are war-ready generals and the worst are armchair generals. Which is B most like?, The best generals are war-ready generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are war-ready generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are war-ready generals and the worst are apocalyptic generals. Which is B most like?, The best generals are battle-tested generals and the worst are armchair generals. Which is B most like?, The best generals are battle-tested generals and the worst are Monday-morning quarterbacks. Which is B most like?, The best generals are battle-tested generals and the worst are armchair quarterbacks. Which is B most like?, The best generals are battle-tested generals and the worst are apocalyptic generals. Which is B most like?"	
from/commanders	12	"The best commanders are war-hardened commanders and the worst are cut-throat commanders. Which is B most like?, The best commanders are war-hardened commanders and the worst are war-crazed commanders. Which is B most like?, The best commanders are war-hardened commanders and the worst are unhinged hawks. Which is B most like?, The best commanders are experienced commanders and the worst are cut-throat commanders. Which is B most like?, The best commanders are experienced commanders and the worst are war-crazed commanders. Which is B most like?, The best commanders are experienced commanders and the worst are unhinged hawks. Which is B most like?, The best commanders are strategic commanders and the worst are cut-throat commanders. Which is B most like?, The best commanders are strategic commanders and the worst are war-crazed commanders. Which is B most like?, The best commanders are strategic commanders and the worst are unhinged hawks. Which is B most like?, The best commanders are battle-tested generals and the worst are cut-throat commanders. Which is B most like?, The best commanders are battle-tested generals and the worst are war-crazed commanders. Which is B most like?, The best commanders are battle-tested generals and the worst are unhinged hawks. Which is B most like?"	
