Initial Action	Number of Uses	Number of Stories	Establishing Action
misrepresent	2	103	B hated to be misquoted but it was a fact of life	
evict	1	103	B had pushed A to the very limit with its behaviour	
play_for	3	102	B was very choosy about who should play	
defend	2	102	"A hated bullies and always rooted for the underdog, A always rooted for the underdog"	
pick_up	1	102	B responded positively to the gleam in A's eye	
speak_for	1	102	B had a way with words but A had the charm to use them to their fullest effect 	
favor	1	101	B's talend would only blossom if appropriately valued by others	
lose_favor_with	2	100	B could only forgive so many mistakes from A	
live_with	1	100	"""My door is always open"" B had said many times before, ""It's just me in that big house"" B had sighed"	
campaign_for	4	99	"B's was a cause that A could get behind, A wanted to be the wind beneath B's wings"	
review	2	99	B valued constructive criticism but feared the critic's red pen	
are_popularized_by	1	98	"A had once struggled to find an audience; but no more, A had once been an acquired taste for a niche audience"	
owe_to	1	98	B lent money freely to its friends but expected to be paid back in full	
humiliate	3	97	"A could taste the blood in the water, A really knew how to twist the knife, A had good reason to stick the knife in"	
are_respected_by	2	94	"A worked hard to earn the respect of others, A knew that respect is the currency of power"	
overwork	2	94	"""I expect 120% performance from everyone"" declared A, B failed to see the difference between unpaid overtime and slavery"	
fight_for	1	94	B's cause seemed an honorable one; especially to A	
are_cursed_by	1	93	"B had delivered a mortal insult to A's honor, B had delivered a crushing blow to A's sense of self "	
are_freed_by	1	93	A peered through the bars and sighed bitterly	
are_challenged_by	2	91	A could not remain the undisputed champion forever	
are_visited_by	2	91	"""Drop by any time"" A had told B"	
commission	1	91	"B was itching to start work on a new commission, B worked best when given a challenging commission"	
question	1	90	B had the answers that A was looking for	
are_beaten_by	4	89	"""I'm not going down without a fight"" proclaimed A"	
finance	1	89	"B had gone to A with cap and hand and cards on the table, B had approached A with one hell of a pitch"	
rescue	2	88	"B was always getting into tight predicaments, B found trouble the way magnets find iron, B found trouble the way dowsers find water"	
are_accompanied_by	2	86	"A put an advert in the personals column, A was an avid reader of the personals column"	
are_painted_by	2	86	"A would earn extra income by posing for artists, A could sit still for hours on end"	
give_birth_to	2	86	B was kicking and ready to get out	
are_enlisted_by	1	86	B would need help to achieve what it wanted to get done	
snatch	1	86	B seemed too ripe a fruit for A not to pluck there and then	
denounce	2	85	"B had finally pushed A over the edge, B had burned its very last bridge with A, B would not be able to brush this one under the rug"	
perform_with	2	85	B figured that duets were in vogue again	
break_free_of	1	85	B could not keep A in its pocket for ever	
target	1	85	B seemed too ripe a fruit for A not to pluck there and then	
assist	3	83	the job was too big for B to do alone	
trick	3	83	"B was always to quick to trust others, B was quick to give others the benefit of the doubt, B was a trusting sort; too trusting by half"	
pray_with	2	83	"B was a poster-boy for the power of prayer, B's faith in God was contagious in times of trouble"	
are_deployed_by	1	83	B would need help to achieve what it wanted to get done	
oppress	1	83	B was one of life's natural victims; everyone picked on it	
rent_from	1	83	A needed a place to live and B had plenty of it	
appeal_to	2	82	B was the only one who could help A now	
are_tricked_by	2	82	"A was always a sucker for flattery, A learned that a fool and his money are easily parted"	
watch_over	2	82	B was ignorant of the world and needed to be watched closely	
are_despised_by	2	81	A had many qualities; none of them were any good	
pine_for	3	79	"it was some time now since B had left, B was gone but not forgotten; not to A anyway"	
are_forgiven_by	1	79	"A was a sinner but admittedly so, A knelt on the ground and grovelled"	
are_oppressed_by	1	79	"A lived in constant fear from threats and reprisals, A lived on a steady diet of threats and reprisals"	
are_rescued_by	1	79	A's plight seemed hopeless	
are_published_by	2	78	A sent the manuscript to one publisher after another	
cast_out	2	78	"A had probably overstayed its welcome with B, A was not what you might call a good guest"	
hurt	2	78	B was vulnerable and trusted too easily	
are_diagnosed_by	1	78	A had many troubling symptoms that cried out for attention	
invest_in	1	78	"B invited investors into the ground floor of a new venture, B made the pitch of a lifetime for a new business, B needed a backer with deep pockets"	
are_ennobled_by	1	78	it was in B's gift to offer a knighthood to any who pleased it	
prosecute	1	78	B had pushed A to the very limit with its behaviour	
are_corrupted_by	4	77	A's intentions were good but A's resolve was weak	
dump	3	77	B had paid little attention to A's recent moods	
are_waited_upon_by	1	77	A was master of house and ruler of B's working life	
identify_with	3	76	B had an everyman quality that inspired others	
convert	1	76	B seemed too ripe a fruit for A not to pluck there and then	
worship_with	1	76	B's faith seemed every bit as strong as A's; if not stronger	
speak_through	2	75	public speaking made A break out in a cold sweat	
are_judged_by	1	75	A was defiant when standing before B	
facilitate	1	75	B would need help to achieve what it wanted to get done	
photograph	1	75	A had an eye for a good model and B had what it took	
are_facilitated_by	1	74	A would need help to achieve what it wanted to get done	
kidnap	2	73	"B was heir to a large fortune and everyone knew it, B came from old money and it showed"	
are_interrogated_by	1	73	"B was determined not to spill any sensitive secrets, B knew that even giants buckled under torture"	
elect	1	73	B had secured A's vote with promises and a big smile	
talk_through	1	73	B had a way with words but A had the charm to use them to their fullest effect 	
are_detained_by	4	72	"A got a bad vibe from B, B gave off a bad vibe to A"	
look_after	4	71	B had the look of someone unused to looking after themselves	
talk_to	3	71	"""we need to have that chat now"" said B, ""we've put off this conversation for too long"" said B"	
pay	1	70	B had earned its salary this time; no question about it	
overcome	1	69	"B had put up a good fight but A held all the best cards, B had overplayed its hand and A was ready to call its bluff"	
are_accommodated_by	2	68	"A needed somewhere to live, A had been living rough on the streets"	
accommodate	1	68	B needed a place to stay and wasn't fussy about where	
are_intimidated_by	1	67	A had made it plain to B that the situation was untenable	
accuse	1	67	B had pushed A to the very limit with its behaviour	
cook_for	1	67	B loved food but could not even boil water properly	
delegate_to	2	66	"B claimed to be a safe pair of hands, B had asked for the extra responsibility"	
are_fought_by	1	66	A had pushed B to the very limit with its behaviour	
fight_with	1	66	B's cause was now A's cause too	
are_abandoned_by	3	64	"B had a belly full of A's broken promises, B had subsisted on a diet of broken promises from A"	
pray_to	2	64	A had an open mind when it came to religion	
sue	2	64	"B had said ""So sue me"" so A said ""Yes I can"""	
champion	1	63	B deserved to put on a pedestal and A was the one to do it	
round_up	1	63	"B was a core member of what you might call the ""usual suspects"""	
are_spoiled_by	2	62	A grew up in a home where luxury was the norm	
are_undermined_by	1	62	"A's position at the top of the heap was a precarious one, A's throne was built on rickety legs, A's insecurities were well-motivated, A's paranoia was well-founded"	
are_graded_by	1	62	A hoped it had done enough to earn a good grade this time	
are_raised_by	1	62	A was a good kid who owed a great deal to B	
are_whipped_by	1	62	A had often earned B's wrath and had the scars to prove it	
work_under	1	62	B viewed A as a colleague but not an equal	
abandon	2	61	B was complacent when it came to relationships	
are_arrested_for_killing	2	61	"A had really done a number on B, B had paid for crossing the line with A"	
communicate_through	1	61	A had a way with words but B had the charm to use them to their fullest effect 	
harass	1	60	B was an easy target and unfortunately A knew it	
educate	2	59	"A was a devoted pedagogue, the last thing B learned was the value of a good education"	
woo	2	59	B's natural defenses against seduction would have to be pierced	
are_chased_by	1	59	A had left B behind without even a goodbye note	
rely_on	1	58	B was a pillar of strength to others in the community	
conquer	1	58	"B had put up a good fight but A held all the best cards, B had overplayed its hand and A was ready to call its bluff"	
are_radicalized_by	1	57	"A's mind was open to the worst forms of extremism, A's anger was easily transmuted into violence, A's determinism veered dangerously close to dogmatism"	
are_targeted_by	1	56	B seemed a mighty large target to A	
chat_with	2	55	B was not averse to striking up a conversation with strangers	
whip	2	55	B had a pathological hatred of slackers	
nurture	1	55	B needed love the way a flower needs water	
are_insulted_by	1	55	A had pushed B to the very limit with its behaviour	
write_about	1	55	B seemed a larger-than-life figure to A	
are_pitied_by	2	54	"A had reached absolute rock bottom, A cut a wretched figure holding a begging bowl"	
are_expelled_by	2	53	A had broken the rules one time too many	
are_blessed_by	2	52	"A tried to live the life of a saint, A knew that the right way is rarely the easy way"	
play_with	2	52	B was a talented player and a joy to play with	
are_treated_by	1	52	A was treated by B	
discipline	1	52	B had pushed A to the limits of tolerance with its behaviour	
raise	1	52	B was a good kid who owed a great deal to A	
rouse	1	52	B was a sputtering flame waiting to be fanned into a blaze	
praise	2	51	B hated flattery but appreciated honest praise	
borrow_from	1	51	A needed money quickly and B had plenty of it	
are_blackmailed_by	2	50	A had too many flaws to keep them all a secret	
are_failed_by	2	50	A had put all its eggs in one fragile basket	
descend_from	1	50	B's genes -- good and bad -- flowed in A's veins	
testify_before	1	50	A was ready to spill its guts to B	
resent	3	49	"B had a habit of pushing everyone too hard and too far, B had a knack for pissing everyone off, B could fill a saint with murderous thoughts"	
monitor	2	49	B had been acting strangely and it was time to find out why	
are_venerated_by	1	48	A shone like a shining beacon to all who gazed upon its wonder	
renounce	1	48	B had pushed A to the very limit with its behaviour	
defeat	1	47	"B had put up a good fight but A held all the best cards, B had overplayed its hand and A was ready to call its bluff"	
find	1	47	B could not expect to stay hidden from A forever	
are_moved_by	1	46	B seemed wretched on the outside but a noble flame burned within	
lose_control_over	1	46	A could not keep B in its pocket for ever	
are_excommunicated_by	2	45	A's commitment to orthodoxy was being openly questioned now	
dislike	2	45	"B gave the world plenty of reason to be contemptuous, B and A had nothing at all in common"	
treat	2	45	"B was in urgent need of medical attention, B feared doctors but needed urgent attention"	
are_shocked_by	1	45	"A was not a prude; it took a lot to shock A, A tried to look past petty foibles to see the best in others"	
travel_with	5	44	"B never traveled alone, travel was so much more fun with a companion"	
accompany	2	44	A hated being alone and always traveled with a companion	
translate_for	2	44	B could not speak the local language well	
act_for	1	44	B did not like getting its own hands dirty; that is what A was for	
are_cheated_by	1	44	A gave trust too easily to those who had not truly earned it	
are_received_by	1	44	A had turned up out of the blue with an expectant air	
track_down	1	44	B left too many crumbs to go undetected by A	
distrust	1	43	B spoke of trust but had yet to truly earn it from A	
snitch_on	1	43	B should have known that secrets are worth more than friendship	
suck_up_to	1	43	it was in B's gift to offer boons to any who pleased it	
negotiate_for	1	42	B trusted A not to give away the family silver	
cast_off	1	42	B had pushed A to the limits of tolerance with its behaviour	
collude_with	1	42	B's dark heart proved a perfect match for A's	
sleep_with	4	41	"B's charm had worked its magic on A, ""Do you come here often"" B had said to A"	
are_humiliated_by	1	41	"A's failure had reflected very badly on B too, A had let B down and needed to be taught a lesson"	
are_killed_by	1	41	A had pushed B to the very limit with its behaviour	
are_persuaded_by	1	41	B had always had a way with words	
answer	1	40	"B threw sharp questions like stinging darts, B hurled questions the way a knife-thrower hurls knives, B's questions repeatedly hit their mark, B had many questions and wanted answers for each"	
are_defrocked_by	1	40	A had pushed B to the very limit with its behaviour	
are_nurtured_by	1	40	A was a good kid who owed a great deal to B	
dominate	1	40	B seemed destined to merely be a pawn in the schemes of others	
mock	1	39	"B had reached for the brass ring and fallen well short, B's failure this time was sure to bring ridicule"	
are_dominated_by	1	39	A seemed destined to merely be a pawn in the schemes of others	
insult	2	38	"B could dish it out but not take it, B's jokes often crossed the line into verbal abuse"	
are_accused_by	1	38	A had pushed B to the very limit with its behaviour	
mate_with	1	38	B had won A over with charm and a  winning smile	
counsel	3	37	B went to A in search of some hard truths	
are_monitored_by	1	37	"A needed close supervision around the clock, A's movements were the subject of close observation"	
tune_out	1	37	B had a tendency to drone on and on like a dyspeptic bee	
lecture_to	2	36	B liked nothing better than a long boring lecture	
cheat_on	2	35	B kept A on a long leash; too long	
lie_to	2	35	B little realized A's skill with a well-turned lie	
labor_for	4	34	"A's family had long toiled for B's, B had told A it would be an arduous task, ""Put your back into it"" commanded B"	
are_found_by	3	34	"""No one can stay hidden forever"" thought B"	
act_via	1	34	A did not like getting its own hands dirty; that is what B was for	
are_offended_by	1	33	"A could dish it out but not take it, A was surprisingly thin-skinned"	
pray_for	1	33	B seemed a lost cause but that was for God to decide	
abet	1	33	B needed the help of a discrete accomplice to achieve its criminal goals	
debate	1	33	B's position seemed unassailable to others but not to A	
help	2	32	"""I could use some help"" said B"	
beautify	1	32	nature had not been kind to B; serious work was needed	
impress	5	31	B had a critical eye that was hard to impress	
are_coached_by	2	31	"A recognized the value of a good coach, A knew that great coaches were 1 in a million"	
satirize	2	31	"B's life often seemed like a bad comedy, B's life was a font of comic material, B seemed a larger-than-life figure"	
appease	1	31	B huffed and puffed and threatened to blow the house down	
style_for	1	31	B looked in the mirror and sighed; time for a make-over	
decapitate	1	31	"A looked at B and thought ""a fish rots from the head down"""	
persuade	1	31	B was always a sucker for charm and a winning smile	
are_impersonated_by	1	30	A had very identifiable mannerisms and stylistic tics	
indoctrinate	3	29	"B's mind was clay waiting to be molded, B's mind was putty in the hands of another, B's desire for certainty was ripe for exploitation"	
diagnose	2	29	B was worried but needed certainty more than comfort	
mentor	1	29	B buzzed with natural energy but lacked the wisdom to direct it usefully	
fear	4	28	"B's shadow was a long and dark one, birds never sang in B's presence, little animals scurried away when B approached, B could instill fear in Satan himself"	
disobey	3	28	"A had been B's puppet for too long, A had danced to B's tune for far too long"	
are_overthrown_by	1	28	"B's position at the top was even more precarious than it seemed, B's time at the top was destined to be short, B haughty behaviour had angered the lower orders"	
are_shielded_by	1	28	A's position was more vulnerable than it seemed; luckily it had B	
are_tipped_by	1	28	B was not slow to reward good service or a job well done	
attend	1	28	B was a creature of many needs; luckily it had A	
confide_in	1	28	B seemed an ideal confidante: open-minded and tight-lipped	
respect	1	28	B cared about its reputation and so it remained spotless	
undermine	1	28	B's position was more vulnerable than it seemed;  and A knew it too	
are_cut_off_by	2	27	B was about to pull the brake on the gravy train	
debate_with	2	27	A and B found themselves on different sides of a controversial topic	
sing_with	2	27	B called the tune but it was a good one	
hunt	1	27	B had left A behind without even a goodbye note	
apprehend	2	26	"B could not stay on the run forever, the bounty on B's head was sure to attract interest"	
are_hindered_by	2	26	"B seemed to derive pleasure from screwing with others, B was one of life's natural obstacles, B meant well but was often in the way"	
pander_to	2	26	B was not immune to flattery or to expensive gifts 	
repress	1	26	B felt like a can of soda that had been shook too vigorously	
testify_for	1	26	B's lawyers had said their case hinged on A's evidence	
are_disappointed_by	1	25	"A had invested big-time in B, A had made a very big investment in B"	
are_banished_by	1	25	A had pushed B's patience to the very limit with its behaviour	
are_hardened_by	1	25	B was a believer in tough love and A was an unwilling convert	
are_transported_by	1	25	A needed a ride and B had the right vehicle	
communicate_via	1	25	A had a way with words but B had the charm to use them to their fullest effect 	
look_for	1	25	B had not been seen for some time now	
take_aim_at	4	24	B presented a very big target to the world	
are_haunted_by	2	24	"B simply would not die, if only A had put a stake through B's heart"	
starve	2	24	A would be easy to manipulate with an empty stomach	
testify_against	2	24	B always feared that A had seen too much	
are_misrepresented_by	1	24	A hated to be misquoted but it was a fact of life	
enhance	1	24	nature had not dealt B a good hand; another ace would be nice	
advocate_for	1	24	if B deserved to put on a pedestal then A was the one to do it	
are_tended_by	1	24	A was a creature of many needs; luckily it had B	
haunt	1	24	if B thought it had heard the last of A then it was in for a shock	
joke_about	1	24	B was a larger-than-life figure around which shaggy yarns were spun 	
popularize	1	24	if B deserved to put on a pedestal then A was the one to do it	
topple	1	24	"B had put up a good fight but A held all the best cards, B had overplayed its hand and A was ready to call its bluff"	
attend_to	1	23	B was a creature of many needs; luckily it had A	
cure	1	23	B's wounds were legion but B was still hopeful	
sell_via	1	23	B seemed the perfect middle-man to A: glib but not greedy	
are_escorted_by	4	22	one thing was sure: A needed an escort	
are_informed_by	1	22	A knew the value of information and paid for it handsomely	
sire	1	22	A's genes -- good and bad -- flowed in B's veins	
flirt_with	3	21	"A would often bump into B at the water cooler, electricity crackled between A and B, A and B had obvious chemistry"	
assassinate	1	21	B had pushed A to the limits of tolerance with its behaviour	
charge	1	21	B had pushed A to the limits of tolerance with its behaviour	
hate	3	20	B had given the world plenty of cause to resent it	
cheat_with	2	20	a drunken night brought A and B together	
are_scripted_by	1	20	B had a way with words but A had the charm to use them to their fullest effect 	
inform	1	20	B liked to be kept in the loop	
are_studied_by	2	19	"A was now a fixture on college reading lists, A was now the darling of cultural critics everywhere"	
seek_forgiveness_from	2	19	B had stormed off in a fit of pique	
are_championed_by	1	19	A deserved to put on a pedestal and B was the one to do it	
are_rejected_by	1	19	B's allegiances spun to and fro like a weather vane	
bribe	1	19	B liked money too much; luckily A had very deep pockets	
subdue	1	19	B had put up a real fight but it was A who held the upper hand now	
are_baptized_by	2	18	"B refilled the baptismal font with clean water, B always welcomed new converts to the church"	
silence	2	18	"B threatened to spill everything to the newspapers, B was a blabbermouth with impulse control issues"	
are_driven_by	1	18	"A never needed to get a driving licence of its own, A loved cars but hated driving"	
are_retained_by	1	18	good staff are hard to find so B recognized the value of a capable servant	
intimidate_with	1	18	A didn't have a menacing personality but it knew someone who did	
take_messages_for	1	18	B hired A to man the phones	
upstage	1	18	A seemed unassuming to A but a fierce ambition burned in those eyes	
are_hunted_by	1	17	"A was on the run and always on the move, ""They'll never take me alive"" promised A"	
assault	1	17	B's actions had provoked widespread disapproval and anger	
beat_up	1	17	B's actions had provoked widespread disapproval and anger	
learn_with	1	17	B's first and wisest move as a student was to join a study club	
pitch_at	1	17	B readied itself for whatever curveballs might come its way	
govern	2	16	B's life would've been total chaos without A	
sell_through	2	16	"B was able to offer A a range of sales channels, B had connections and could shift a lot of product"	
are_educated_by	1	16	A was a good kid who owed a great deal to B	
break_up_with	1	16	B had pushed A to the limit with its jealousy and possessiveness	
destroy	1	16	"B remained defiant to the last but the centre simply could not hold, B remained defiant to the last but its defences were crumbling"	
host	2	15	B paid A a long-promised visit	
are_forgotten_by	1	15	"many had cruelly described A as a flash-in-the-pan, it seemed A was here one day and gone the next"	
disrespect	1	15	"B was not what you would call a ""team player"", B only ever looked out for ""number one"", B's reputation was more soiled than a tablecloth in a cheap restaurant"	
are_helped_by	2	14	"""You look like you need a hand"" said B, ""Could you give me a hand?"" asked A"	
dress	1	14	B had the luxury of not having to dress itself	
perform_for	1	14	B had the privilege of having others perform for its pleasure	
are_kissed_by	1	13	"A glanced seductively at B, A waited impatiently in the moonlight"	
govern_via	1	13	B had shown loyalty and a talent for administration	
influence	1	13	B was open-minded; perhaps a little too open-minded	
minister_to	1	13	B's flesh was strong but its spirit was weak	
paint	1	13	A had an eye for a good model and B had what it took	
reach_out_to	2	12	B was famous but not untouchably so	
tower_over	2	12	B had always felt tiny in A's powerful presence	
are_caught_by	1	12	"A had been on the run for ages but time was running out, A had exhausted all of its option for refuge"	
are_suppressed_by	1	12	B had very strong ideas about how the world should work	
forgive	1	12	A was a softy at heart who could not stay angry at B forever	
elude	3	11	B needed to find A or all hell would break loose	
operate_on	2	11	B had a problem that required the very best surgeon to root out	
are_rewarded_with	1	11	B seemed a prize worthy of any champion	
examine	1	11	B lay down on the cold examination table with a sense of tredipidation	
intimidate	1	11	B had shown unexpected resolve and would not back down	
model_for	1	11	B had a discerning eye and chose only the prettiest models	
navigate_for	1	11	B had a vision of the destination but not of how to get there	
are_bullied_by	1	11	"""Names will never hurt me"" said A defiantly, A's lack of success was sure to attract jeers, A's detractors smelled blood in the water, the writing seemed to be on the wall for A, A's detractors were now forming a queue"	
are_chronicled_by	1	11	A was a larger-than-life figure that history was sure to remember; B would make sure of that	
are_supplanted_by	1	11	"A sat precariously on an unsteady perch, A held the reigns of power; for now at least"	
are_embarrassed_by	1	11	B always had the potential to be a complete screw-up	
are_spurned_by	2	10	A had made one last attempt to win B over	
are_savaged_by	1	10	A had crossed the line and would pay for it in blood	
are_charged_by	1	10	A had pushed B to the very limit with its behaviour	
farm_for	1	10	B did not like getting its own hands dirty; that is what A was for	
lend_to	1	10	A lent money freely to its friends but expected to be paid back in full	
repay	1	10	its debt to B was a heavy burden that sat uneasily on A's conscience	
are_assaulted_by	1	9	A's actions had provoked widespread disapproval and anger	
are_ejected_by	1	9	A had overstayed a warm welcome that was rapidly cooling	
are_elected_by	1	9	A needed the support of voters like B	
are_traumatized_by	1	9	B had really done a number on A's psyche	
are_cared_for_by	1	8	"A had known B for years, an unspoken bond united B and A"	
are_ordained_by	1	8	A finally felt ready to take the plunge	
owe	1	8	A had needed money and B had plenty of it	
run_against	1	8	B and A found themselves on opposite sides of an ideological divide	
deploy	2	7	B lobbied hard for this assignment	
heckle	2	7	B's sense of humour was an acquired taste	
massage	2	7	B's muscles were like knots in an oak tree	
anger	1	7	B's temper operated with hair-trigger sensitivity	
argue_before	1	7	B was famed as a hard-ass who ran a tight ship	
baptise	1	7	"B was about to be shed the mistakes of a failed life, B looked forward to being born again"	
tip	1	7	B had gone beyond the call of duty for A	
are_influenced_by	1	7	A was open-minded; perhaps a little too open-minded	
breastfeed	1	7	B needed love the way a flower needs water	
molest	1	7	B seemed too ripe a fruit for A not to pluck there and then	
rob	1	7	B had plenty of money; too much in A's estimation	
vote_against	1	7	B and A found themselves on opposite sides of an ideological divide	
are_exorcized_by	1	6	A had haunted B for far too long; but no longer	
are_profiled_by	1	6	A's actions offered many clues to its psychological state	
obtain_sympathy_from	1	6	A seemed wretched on the outside but a noble flame burned within	
propose_to	2	5	B and A had been dating for quite some time	
are_missed_by	1	5	A had left without even leaving a goodbye note for B	
baptize	1	5	B was in the market for a shiny new religion	
chase_after	1	5	B had left A behind without even a goodbye note	
incarcerate	1	5	"B's claustrophobia was about to go into overdrive, ""jail is too good for some people"" thought A, B never valued freedom until it was taken away"	
overshadow	1	5	B cast a long shadow that darkened many a door	
sacrifice_to	1	5	A had an open mind when it came to religion	
resemble	3	4	B was handsome but far from unique	
devour	1	4	B presented a juicy target for any red-blooded striver	
are_probed_by	1	4	B could not wait to get its tendrils into A's mind	
handle	1	4	B was a passionate amateur but needed professional help	
leave_behind	1	4	A was not even planning to write a goodbye note	
excommunicate	1	3	"B had brought shame upon its high office, B had abused the trust of society's most vulnerable "	
are_bitten_by	1	3	B's teeth did not look all that sharp to A; that was an oversight	
are_censured_by	1	3	A had pushed B to the very limit with its behaviour	
fire	1	3	B had pushed A to the very limit with its behaviour	
settle_with	1	3	B and A finally sat down at same table to negotiate	
unleash	1	3	B tugged at its leash and struggled against it mightily	
are_booed_by	1	2	A's humour was of a taste that few every acquired	
design_for	1	2	B loved beautiful things and sought them out assiduously 	
lose_to	1	2	A had put up a good fight but it was not to be	
create_for	1	1	it was widely believed that the creativity gene ran in A's family	
are_repaid_by	1	1	A had lent B a large sum of money with no strings attached	
are_owed_by	1	1	B needed money quickly and A had plenty of it	
evaluate_with	1	1	B had as much faith in A's judgment as in its own	
flee_from	1	1	"A wanted to hide where B would never think of looking, A refused to be B's punchbag any longer"	
leak_to	1	1	"B liked to be kept in the loop, B knew the value of an inside tip and would gladly pay for one"	
interview	9	0	"A's office set up the meeting with B, B's secretary finally gave a time for meeting with A,"	
disfigure	2	0	A could not pass a mirror without preening	
are_driven_around_by	1	0	"A never needed to get a driving licence of its own, A loved cars but hated driving"	
are_intrigued_by	1	0	"A wished for something to relieve the boredom, A was tired of the same old faces"	
are_ruined_by	1	0	A had been asking for it; no question about that	
are_wanted_by	1	0	"A was on the run and nowhere to be found, A was on the run and the trail had gone cold"	
are_welcomed_by	1	0	A turned up at B's doorstep with a suitcase and a smile	
drive_for	1	0	"B had failed Driver's Ed in high-school, B had never needed a driver's licence, B was rich enough to not need a driver's licence"	
ignore	1	0	"B had been trying all evening to get A to open up, B tried to make eye contact with A all evening"	
lease_to	1	0	B came with good references from a previous landlord	
nominate	1	0	B lobbied hard for this opportunity and would not be denied	
pick	1	0	"B shouted long and hard to be picked by A, B worked hard to stand out from the others"	
supply_to	1	0	B needed a supplier with large inventories and deep supply chains	
transport	1	0	"B had places to be and things to do, B had a ticket to ride and an urge to be gone"	
answer_questions_from	1	0	"B threw sharp questions like stinging darts, B hurled questions the way a knife-thrower hurls knives, B's questions repeatedly hit their mark, B had many questions and wanted answers for each"	
are_answered_by	1	0	"A threw sharp questions like stinging darts, A hurled questions the way a knife-thrower hurls knives, A's questions repeatedly hit their mark, A had many questions and wanted answers for each"	
are_arrested_for_hurting	1	0	A had pushed B to the very limit with its behaviour	
are_disqualified_by	1	0	A had pushed B to the very limit with its behaviour	
are_eluded_by	1	0	A needed to find B or all hell would break loose	
are_underestimated_by	1	0	"A was a quiet type that did not try to impress others, A did not set out to impress others, B was too quick to judge others, B often jumped to conclusions about others"	
blow_up	1	0	B had presented too big a target for A	
challenge	1	0	B could not expect to sit on its throne forever	
export_to	1	0	B needed goods and A needed to shift its product fast	
free	1	0	B was going crazy cooped up in that tiny space	
hit	1	0	B had pushed A to the limits of tolerance with its behaviour	
lose_interest_in	1	0	"A had a very low threshold for boredom, B was less interesting than a wet-paint sign, B was less interesting than a party in a nunnery, B was less interesting that alcohol-free beer, B's jokes were as stale as old bread"	
order_from	1	0	A needed goods and B needed to shift its product fast	
train_with	1	0	A's first and wisest move as an amateur was to join a gym	
				339902
